Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
OR7E91P	2p13.3	0.67	0.08	0.85	0.10	0.59	0.0898	0.484	(A) Immunomodulatory
KIT	4q12	0.74	0.15	0.63	0.27	0.59	0.0596	0.453	(A) Immunomodulatory
GTF2E2	8p12	0.62	0.03	0.36	0.06	0.59	2.127e-3	0.169	(A) Immunomodulatory
KCNT2	1q31.3	0.73	0.14	0.62	0.24	0.59	0.0500	0.443	(A) Immunomodulatory
HLA-H	6p22.1	0.69	0.10	0.85	0.18	0.59	0.0996	0.492	(A) Immunomodulatory
TUBB2B	6p25.2	0.79	0.21	0.63	0.36	0.58	0.0990	0.491	(A) Immunomodulatory
NPB	17q25.3	0.66	0.08	1.19	0.11	0.58	0.212	0.624	(A) Immunomodulatory
DPEP1	16q24.3	1.17	0.59	0.88	0.52	0.58	0.224	0.633	(A) Immunomodulatory
FKBP9P1	7p11.2	0.62	0.04	0.99	0.07	0.58	0.140	0.546	(A) Immunomodulatory
TMEM130	7q22.1	0.77	0.19	0.60	0.32	0.58	0.0775	0.476	(A) Immunomodulatory
RIMS2	8q22.3	1.04	0.46	0.92	0.80	0.58	0.357	0.738	(A) Immunomodulatory
IRF2	4q35.1	0.62	0.03	0.27	0.06	0.58	3.191e-4	0.0565	(A) Immunomodulatory
PRKCQ-AS1	10p14	0.83	0.25	0.55	0.43	0.58	0.127	0.523	(A) Immunomodulatory
PDCD1LG2	9p24.1	0.89	0.31	0.47	0.47	0.58	0.151	0.562	(A) Immunomodulatory
CHST4	16q22.2	0.61	0.03	0.86	0.06	0.58	0.0975	0.490	(A) Immunomodulatory
RGS2	1q31.2	0.66	0.08	0.57	0.13	0.58	0.0256	0.426	(A) Immunomodulatory
SHFL	19p13.2	0.73	0.15	0.51	0.25	0.58	0.0381	0.429	(A) Immunomodulatory
LXN	3q25.32	0.69	0.11	0.41	0.16	0.58	8.422e-3	0.325	(A) Immunomodulatory
CDH4	20q13.33	0.65	0.07	0.84	0.12	0.58	0.0957	0.488	(A) Immunomodulatory
CASP14	19p13.12	1.40	0.82	1.20	0.73	0.58	0.402	0.767	(A) Immunomodulatory
XCL1	1q24.2	1.04	0.47	0.49	0.56	0.58	0.204	0.616	(A) Immunomodulatory
FAM133A	Xq21.32	0.58	0.00	0.54	0.01	0.58	0.0191	0.400	(A) Immunomodulatory
APOL1	22q12.3	0.79	0.21	0.63	0.36	0.58	0.104	0.496	(A) Immunomodulatory
CLEC7A	12p13.2	0.85	0.27	0.61	0.27	0.58	0.0599	0.453	(A) Immunomodulatory
SOCS1	16p13.13	1.02	0.45	0.56	0.40	0.57	0.114	0.505	(A) Immunomodulatory
SOD2	6q25.3	0.85	0.28	0.56	0.31	0.57	0.0718	0.470	(A) Immunomodulatory
CD72	9p13.3	0.91	0.34	0.46	0.30	0.57	0.0547	0.448	(A) Immunomodulatory
BST2	19p13.11	0.85	0.28	0.64	0.48	0.57	0.175	0.588	(A) Immunomodulatory
GZMA	5q11.2	1.39	0.82	0.52	0.61	0.57	0.243	0.652	(A) Immunomodulatory
TENT5C	1p12	1.55	0.98	0.71	0.60	0.57	0.251	0.658	(A) Immunomodulatory
VAMP5	2p11.2	0.73	0.16	0.44	0.19	0.57	0.0160	0.389	(A) Immunomodulatory
XXYLT1-AS2	3q29	1.09	0.53	0.51	0.48	0.57	0.161	0.573	(A) Immunomodulatory
TCF21	6q23.2	0.93	0.36	0.13	0.51	0.57	0.353	0.736	(A) Immunomodulatory
RGS7BP	5q12.3	1.00	0.43	0.71	0.65	0.57	0.276	0.682	(A) Immunomodulatory
IFIT5	10q23.31	0.69	0.12	0.45	0.22	0.57	0.0225	0.414	(A) Immunomodulatory
HSH2D	19p13.11	1.36	0.79	0.34	0.71	0.57	0.295	0.698	(A) Immunomodulatory
SLITRK5	13q31.2	0.82	0.25	0.92	0.24	0.57	0.143	0.551	(A) Immunomodulatory
GNLY	2p11.2	1.37	0.80	0.68	0.37	0.57	0.122	0.517	(A) Immunomodulatory
ICAM1	19p13.2	0.72	0.15	0.59	0.26	0.57	0.0562	0.448	(A) Immunomodulatory
LINC01305	2q31.1	0.77	0.20	0.77	0.35	0.57	0.131	0.529	(A) Immunomodulatory
ALYREF	17q25.3	0.57	0.01	0.51	0.01	0.57	0.0159	0.389	(A) Immunomodulatory
PLGRKT	9p24.1	0.63	0.07	0.49	0.11	0.57	0.0147	0.383	(A) Immunomodulatory
PIM2	Xp11.23	1.53	0.96	0.44	0.37	0.56	0.0919	0.485	(A) Immunomodulatory
TNFRSF10A-DT	8p21.3	0.58	0.01	0.32	0.02	0.56	1.417e-3	0.137	(A) Immunomodulatory
MUC4	3q29	0.79	0.23	0.79	0.40	0.56	0.161	0.573	(A) Immunomodulatory
BHLHA15	7q21.3	1.13	0.57	0.80	0.50	0.56	0.214	0.625	(A) Immunomodulatory
TAS2R9	12p13.2	0.57	0.01	0.80	0.01	0.56	0.504	0.820	(A) Immunomodulatory
FAM83E	19q13.33	0.83	0.27	0.90	0.46	0.56	0.215	0.626	(A) Immunomodulatory
ZBED2	3q13.13	1.55	0.99	0.47	0.55	0.56	0.212	0.624	(A) Immunomodulatory
ST6GALNAC4	9q34.11	0.76	0.20	0.66	0.35	0.56	0.109	0.499	(A) Immunomodulatory
H1-3	6p22.2	0.65	0.09	0.61	0.16	0.56	0.0408	0.430	(A) Immunomodulatory
HK3	5q35.2	0.66	0.10	0.66	0.18	0.56	0.0564	0.449	(A) Immunomodulatory
DIO2	14q31.1	0.87	0.32	0.60	0.32	0.56	0.0884	0.484	(A) Immunomodulatory
LINC00619	10q11.21	0.64	0.09	0.59	0.12	0.56	0.0391	0.429	(A) Immunomodulatory
XIRP1	3p22.2	1.08	0.53	0.85	0.91	0.56	0.418	0.778	(A) Immunomodulatory
NRIR	2p25.2	1.03	0.48	0.66	0.67	0.56	0.432	0.784	(A) Immunomodulatory
KCNG1	20q13.13	0.57	0.02	0.64	0.03	0.56	0.0437	0.433	(A) Immunomodulatory
CCDC85B	11q13.1	0.57	0.01	0.58	0.02	0.55	0.0296	0.429	(A) Immunomodulatory
GZMM	19p13.3	1.35	0.80	0.34	0.74	0.55	0.321	0.719	(A) Immunomodulatory
MAP7D3	Xq26.3	0.56	0.00	0.44	0.01	0.55	8.967e-3	0.331	(A) Immunomodulatory
CCAT1	8q24.21	0.72	0.16	0.63	0.23	0.55	0.194	0.604	(A) Immunomodulatory
NPFFR1	10q22.1	0.73	0.17	0.81	0.15	0.55	0.127	0.524	(A) Immunomodulatory
CNGB3	8q21.3	0.73	0.18	0.58	0.25	0.55	0.387	0.757	(A) Immunomodulatory
SDAD1P1	8p21.2	0.64	0.09	0.43	0.16	0.55	0.0125	0.365	(A) Immunomodulatory
ESCO2	8p21.1	0.60	0.05	0.58	0.08	0.55	0.0309	0.429	(A) Immunomodulatory
STX11	6q24.2	0.94	0.39	0.44	0.68	0.55	0.292	0.694	(A) Immunomodulatory
NXT2	Xq23	0.68	0.13	0.66	0.22	0.55	0.0686	0.465	(A) Immunomodulatory
H2AC13	6p22.1	0.61	0.06	0.63	0.10	0.55	0.0615	0.454	(A) Immunomodulatory
GPR171	3q25.1	1.50	0.96	0.25	0.85	0.55	0.383	0.754	(A) Immunomodulatory
CD7	17q25.3	1.33	0.78	0.43	0.68	0.55	0.295	0.698	(A) Immunomodulatory
UTS2R	17q25.3	0.81	0.26	0.66	0.36	0.55	0.226	0.633	(A) Immunomodulatory
IL17B	5q32	1.10	0.56	0.75	0.96	0.55	0.441	0.791	(A) Immunomodulatory
TUBB3	16q24.3	0.56	0.02	0.68	0.03	0.55	0.0578	0.452	(A) Immunomodulatory
RHEBL1	12q13.12	0.63	0.08	0.42	0.14	0.54	0.0111	0.357	(A) Immunomodulatory
PTH2R	2q34	1.01	0.47	1.03	0.40	0.54	0.241	0.650	(A) Immunomodulatory
CGAS	6q13	0.73	0.19	0.36	0.32	0.54	0.0733	0.471	(A) Immunomodulatory
C1R	12p13.31	0.71	0.17	0.52	0.29	0.54	0.0657	0.462	(A) Immunomodulatory
LINC02694	15q14	0.85	0.31	0.71	0.43	0.54	0.287	0.689	(A) Immunomodulatory
NMU	4q12	0.93	0.39	0.74	0.38	0.54	0.155	0.566	(A) Immunomodulatory
FUT7	9q34.3	1.20	0.65	0.37	0.76	0.54	0.341	0.733	(A) Immunomodulatory
CXCR3	Xq13.1	1.28	0.74	0.42	0.71	0.54	0.318	0.716	(A) Immunomodulatory
CYTIP	2q24.1	1.41	0.87	0.38	0.68	0.54	0.301	0.703	(A) Immunomodulatory
MSC	8q13.3	0.74	0.20	0.74	0.35	0.54	0.144	0.552	(A) Immunomodulatory
MYH11	16p13.11	1.12	0.58	0.70	0.98	0.54	0.452	0.797	(A) Immunomodulatory
KLHL32	6q16.1	0.68	0.14	0.54	0.25	0.54	0.0544	0.447	(A) Immunomodulatory
KIR2DL1	19q13.42	0.66	0.13	0.67	0.22	0.54	0.155	0.566	(A) Immunomodulatory
CARD16	11q22.3	0.97	0.44	0.47	0.45	0.54	0.160	0.572	(A) Immunomodulatory
TRPA1	8q21.11	0.70	0.16	0.69	0.17	0.54	0.0729	0.471	(A) Immunomodulatory
TIMM17B	Xp11.23	0.54	0.00	0.48	0.01	0.54	0.0162	0.389	(A) Immunomodulatory
STAT1	2q32.2	0.98	0.44	0.34	0.39	0.54	0.118	0.510	(A) Immunomodulatory
CNOT7	8p22	0.57	0.03	0.17	0.06	0.54	2.450e-5	0.0132	(A) Immunomodulatory
APOBEC3A	22q13.1	0.95	0.41	0.86	0.71	0.54	0.347	0.734	(A) Immunomodulatory
KIRREL2	19q13.12	0.60	0.07	0.94	0.12	0.54	0.187	0.597	(A) Immunomodulatory
GFAP	17q21.31	0.58	0.05	0.57	0.09	0.53	0.0337	0.429	(A) Immunomodulatory
MYO7A	11q13.5	0.79	0.26	0.54	0.36	0.53	0.110	0.500	(A) Immunomodulatory
EBI3	19p13.3	1.16	0.63	0.41	0.55	0.53	0.225	0.633	(A) Immunomodulatory
TXNDC5	6p24.3	0.85	0.32	0.56	0.29	0.53	0.0789	0.478	(A) Immunomodulatory
SLC22A31	16q24.3	0.78	0.25	0.83	0.24	0.53	0.134	0.536	(A) Immunomodulatory
CD2	1p13.1	1.41	0.88	0.36	0.78	0.53	0.359	0.740	(A) Immunomodulatory
IL27RA	19p13.12	0.71	0.18	0.74	0.20	0.53	0.0975	0.490	(A) Immunomodulatory
LINC00092	9q22.32	0.58	0.05	0.76	0.09	0.53	0.0916	0.485	(A) Immunomodulatory
DNTT	10q24.1	0.71	0.18	0.28	0.30	0.53	0.0677	0.464	(A) Immunomodulatory
GLRX	5q15	0.64	0.11	0.45	0.19	0.53	0.0251	0.424	(A) Immunomodulatory
CTLA4	2q33.2	1.56	1.03	0.37	0.89	0.53	0.412	0.775	(A) Immunomodulatory
TIMP1	Xp11.3	0.58	0.05	0.46	0.09	0.53	0.0146	0.382	(A) Immunomodulatory
RNF17	13q12.12	1.17	0.65	0.88	0.91	0.53	0.565	0.850	(A) Immunomodulatory
EFNA2	19p13.3	1.01	0.48	0.78	0.84	0.53	0.427	0.782	(A) Immunomodulatory
BBOX1	11p14.2	1.00	0.47	1.02	0.81	0.53	0.419	0.778	(A) Immunomodulatory
PET100	19p13.2	0.60	0.07	0.53	0.13	0.53	0.0297	0.429	(A) Immunomodulatory
NGFR	17q21.33	0.79	0.26	0.75	0.46	0.53	0.208	0.620	(A) Immunomodulatory
NRAD1	13q14.11	0.67	0.15	0.82	0.26	0.52	0.167	0.582	(A) Immunomodulatory
CCDC28B	1p35.2	0.60	0.08	0.58	0.13	0.52	0.0418	0.430	(A) Immunomodulatory
JUN	1p32.1	0.59	0.06	0.73	0.11	0.52	0.0858	0.480	(A) Immunomodulatory
TP73	1p36.32	0.53	0.00	0.49	0.01	0.52	0.0192	0.400	(A) Immunomodulatory
DCHS2	4q31.3	0.57	0.04	0.85	0.07	0.52	0.125	0.521	(A) Immunomodulatory
NR1H3	11p11.2	0.72	0.20	0.43	0.34	0.52	0.0951	0.487	(A) Immunomodulatory
KRT81	12q13.13	0.77	0.25	1.09	0.43	0.52	0.283	0.686	(A) Immunomodulatory
CD69	12p13.31	1.64	1.12	0.43	0.88	0.52	0.412	0.775	(A) Immunomodulatory
HELZ2	20q13.33	0.55	0.03	0.44	0.05	0.52	0.0116	0.360	(A) Immunomodulatory
ABCC4	13q32.1	0.66	0.14	0.37	0.24	0.52	0.0337	0.429	(A) Immunomodulatory
FOS	14q24.3	1.18	0.66	1.14	1.14	0.52	0.539	0.838	(A) Immunomodulatory
GIMAP1-GIMAP5	7q36.1	0.90	0.38	0.50	0.66	0.52	0.305	0.706	(A) Immunomodulatory
COL6A6	3q22.1	1.09	0.57	0.59	0.99	0.52	0.463	0.804	(A) Immunomodulatory
PCOLCE2	3q23	0.70	0.18	0.74	0.31	0.52	0.136	0.539	(A) Immunomodulatory
EYA1	8q13.3	0.63	0.11	0.71	0.19	0.52	0.0906	0.485	(A) Immunomodulatory
TMEM200C	18p11.31	0.71	0.19	0.54	0.31	0.52	0.0870	0.483	(A) Immunomodulatory
MEF2B	19p13.11	0.80	0.28	0.54	0.25	0.52	0.0612	0.454	(A) Immunomodulatory
CEP128	14q31.1	0.79	0.27	0.43	0.27	0.52	0.0533	0.446	(A) Immunomodulatory
HOXD13	2q31.1	0.71	0.19	1.14	0.26	0.52	0.340	0.733	(A) Immunomodulatory
HTR4	5q32	0.53	0.01	0.39	0.01	0.52	0.0752	0.474	(A) Immunomodulatory
PARP9	3q21.1	0.73	0.21	0.32	0.36	0.52	0.108	0.498	(A) Immunomodulatory
PI16	6p21.2	1.04	0.52	0.78	0.46	0.52	0.221	0.631	(A) Immunomodulatory
POC1B-GALNT4	12q21.33	0.70	0.19	0.63	0.32	0.52	0.148	0.559	(A) Immunomodulatory
TSLP	5q22.1	0.57	0.05	0.44	0.09	0.52	0.0134	0.373	(A) Immunomodulatory
AKAP3	12p13.32	0.61	0.09	0.68	0.16	0.52	0.0784	0.478	(A) Immunomodulatory
KLRK1	12p13.2	1.26	0.74	0.41	0.83	0.52	0.395	0.762	(A) Immunomodulatory
ASMTL	Xp22.3 and Yp11.3	0.59	0.08	0.65	0.13	0.52	0.0634	0.456	(A) Immunomodulatory
KLRF1	12p13.31	0.94	0.42	0.52	0.39	0.51	0.136	0.539	(A) Immunomodulatory
XCL2	1q24.2	1.29	0.77	0.54	0.75	0.51	0.364	0.743	(A) Immunomodulatory
SMIM3	5q33.1	0.52	0.01	0.44	0.02	0.51	0.0128	0.367	(A) Immunomodulatory
NUDT7	16q23.1	0.71	0.19	0.52	0.33	0.51	0.104	0.496	(A) Immunomodulatory
NFKBIA	14q13.2	0.86	0.35	0.41	0.38	0.51	0.125	0.521	(A) Immunomodulatory
MAFA-AS1	8q24.3	0.74	0.23	0.50	0.21	0.51	0.368	0.745	(A) Immunomodulatory
CERNA2	10q23.1	0.57	0.06	0.57	0.08	0.51	0.0589	0.452	(A) Immunomodulatory
NKX3-1	8p21.2	0.64	0.13	0.71	0.23	0.51	0.105	0.497	(A) Immunomodulatory
AADAC	3q25.1	0.72	0.21	0.62	0.29	0.51	0.176	0.588	(A) Immunomodulatory
PLAC8	4q21.22	1.52	1.01	0.40	0.93	0.51	0.446	0.793	(A) Immunomodulatory
ASGR2	17p13.1	0.76	0.25	0.50	0.43	0.51	0.170	0.585	(A) Immunomodulatory
UBALD2	17q25.1	0.51	0.00	0.41	0.01	0.51	9.305e-3	0.337	(A) Immunomodulatory
DSC3	18q12.1	0.57	0.07	0.89	0.11	0.51	0.155	0.566	(A) Immunomodulatory
ITGAE	17p13.2	0.64	0.14	0.53	0.24	0.51	0.0608	0.454	(A) Immunomodulatory
ADAMTS8	11q24.3	1.01	0.50	0.47	0.43	0.51	0.169	0.585	(A) Immunomodulatory
B2M	15q21.1	0.84	0.34	0.29	0.58	0.51	0.267	0.673	(A) Immunomodulatory
LINC03034	15q13.3	1.20	0.69	0.70	0.42	0.51	0.190	0.600	(A) Immunomodulatory
KCNK3	2p23.3	0.69	0.18	0.69	0.32	0.51	0.134	0.536	(A) Immunomodulatory
BMS1P20	22q11.22	1.39	0.88	0.92	0.67	0.50	0.363	0.742	(A) Immunomodulatory
LINC01679	21q22.3	0.89	0.38	0.51	0.66	0.50	0.322	0.720	(A) Immunomodulatory
GPR87	3q25.1	0.65	0.15	1.03	0.26	0.50	0.235	0.644	(A) Immunomodulatory
ARL13A	Xq22.1	0.56	0.06	0.82	0.10	0.50	0.247	0.656	(A) Immunomodulatory
GPR27	3p13	0.64	0.14	0.63	0.24	0.50	0.0878	0.484	(A) Immunomodulatory
IL10	1q32.1	0.77	0.27	0.47	0.47	0.50	0.196	0.608	(A) Immunomodulatory
DDX60	4q32.3	0.75	0.25	0.43	0.23	0.50	0.0401	0.429	(A) Immunomodulatory
PAX6	11p13	0.54	0.04	0.84	0.06	0.50	0.139	0.544	(A) Immunomodulatory
ARB2BP	3q12.3	1.21	0.71	0.24	0.61	0.50	0.292	0.694	(A) Immunomodulatory
C1ORF54	1q21.2	0.68	0.18	0.45	0.31	0.50	0.0872	0.483	(A) Immunomodulatory
TNFRSF17	16p13.13	1.66	1.16	0.74	0.71	0.50	0.367	0.744	(A) Immunomodulatory
CREB3L3	19p13.3	0.64	0.14	0.56	0.20	0.50	0.120	0.514	(A) Immunomodulatory
FCGR1BP	1p11.2	0.61	0.11	0.56	0.19	0.50	0.0539	0.446	(A) Immunomodulatory
MRS2P2	12q21.1	0.55	0.05	0.55	0.09	0.50	0.0392	0.429	(A) Immunomodulatory
DEFB1	8p23.1	0.97	0.47	0.89	0.82	0.50	0.430	0.783	(A) Immunomodulatory
TRMT11	6q22.32	0.60	0.10	0.51	0.18	0.50	0.0408	0.430	(A) Immunomodulatory
CHCHD1	10q22.2	0.52	0.03	0.43	0.04	0.50	0.0134	0.373	(A) Immunomodulatory
LY96	8q21.11	0.87	0.37	0.46	0.64	0.50	0.313	0.713	(A) Immunomodulatory
APOL6	22q12.3	0.84	0.34	0.41	0.42	0.50	0.162	0.574	(A) Immunomodulatory
LINC02365	4q35.1	0.50	0.01	0.40	0.01	0.49	0.0880	0.484	(A) Immunomodulatory
DCTN6	8p12	0.57	0.08	0.22	0.13	0.49	2.612e-3	0.189	(A) Immunomodulatory
OSM	22q12.2	0.96	0.47	0.66	0.40	0.49	0.184	0.594	(A) Immunomodulatory
ADCYAP1R1	7p14.3	0.73	0.24	0.62	0.42	0.49	0.185	0.595	(A) Immunomodulatory
TBC1D3	17q12	0.72	0.23	0.96	0.39	0.49	0.282	0.686	(A) Immunomodulatory
VEGFD	Xp22.2	1.06	0.57	0.50	0.91	0.49	0.451	0.796	(A) Immunomodulatory
BHLHE40-AS1	3p26.1	0.92	0.42	0.37	0.37	0.49	0.127	0.523	(A) Immunomodulatory
KCNK15-AS1	20q13.12	0.85	0.36	0.55	0.42	0.49	0.176	0.588	(A) Immunomodulatory
MOB3B	9p21.2	0.50	0.00	0.34	0.01	0.49	4.539e-3	0.248	(A) Immunomodulatory
PTHLH	12p11.22	0.70	0.21	0.78	0.37	0.49	0.196	0.607	(A) Immunomodulatory
RNF122	8p12	0.55	0.06	0.42	0.10	0.49	0.0143	0.382	(A) Immunomodulatory
EXD1	15q15.1	0.55	0.06	0.85	0.10	0.49	0.266	0.673	(A) Immunomodulatory
CCDC88A	2p16.1	0.64	0.15	0.49	0.26	0.49	0.0702	0.466	(A) Immunomodulatory
TMIE	3p21.31	0.55	0.06	0.35	0.10	0.49	0.0103	0.348	(A) Immunomodulatory
C5ORF47	5q35.2	0.61	0.13	0.23	0.18	0.49	0.0724	0.470	(A) Immunomodulatory
TMEM151A	11q13.2	0.70	0.21	1.21	0.30	0.49	0.564	0.849	(A) Immunomodulatory
SPAG6	10p12.2	0.57	0.08	0.48	0.12	0.49	0.0333	0.429	(A) Immunomodulatory
TGM2	20q11.23	0.60	0.11	0.62	0.12	0.49	0.0666	0.462	(A) Immunomodulatory
MARCO	2q14.2	0.63	0.14	0.86	0.24	0.49	0.178	0.589	(A) Immunomodulatory
C1S	12p13.31	0.81	0.33	0.56	0.31	0.49	0.115	0.506	(A) Immunomodulatory
TNFRSF10C	8p21.3	0.53	0.04	0.59	0.07	0.49	0.0526	0.446	(A) Immunomodulatory
SERPING1	11q12.1	0.53	0.05	0.55	0.08	0.49	0.0428	0.432	(A) Immunomodulatory
EPB42	15q15.2	0.57	0.08	0.78	0.12	0.48	0.197	0.608	(A) Immunomodulatory
OR13D1	9q31.1	0.70	0.21	0.85	0.30	0.48	0.563	0.849	(A) Immunomodulatory
PRDX4	Xp22.11	0.49	0.01	0.49	0.01	0.48	0.0275	0.426	(A) Immunomodulatory
FGF11	17p13.1	0.56	0.08	0.80	0.13	0.48	0.139	0.544	(A) Immunomodulatory
ACTN3	11q13.2	0.51	0.03	0.43	0.05	0.48	0.0400	0.429	(A) Immunomodulatory
MCL1	1q21.2	0.72	0.24	0.39	0.41	0.48	0.165	0.578	(A) Immunomodulatory
RPS13	11p15.1	0.52	0.03	0.42	0.06	0.48	0.0144	0.382	(A) Immunomodulatory
SEMA4A	1q22	0.52	0.04	0.40	0.07	0.48	0.0107	0.354	(A) Immunomodulatory
MBNL1-AS1	3q25.1	0.59	0.11	0.47	0.17	0.48	0.0353	0.429	(A) Immunomodulatory
LINC00536	8q23.3	0.64	0.16	0.95	0.23	0.48	0.236	0.645	(A) Immunomodulatory
H3C14	1q21.2	0.48	0.00	0.59	0.01	0.48	0.0541	0.447	(A) Immunomodulatory
H3C15	1q21.2	0.48	0.00	0.59	0.01	0.48	0.0541	0.447	(A) Immunomodulatory
FUT4	11q21	0.54	0.07	0.46	0.11	0.48	0.0242	0.415	(A) Immunomodulatory
STAT5A	17q21.2	0.60	0.12	0.48	0.21	0.48	0.0486	0.440	(A) Immunomodulatory
AIF1	6p21.33	0.79	0.31	0.48	0.49	0.48	0.228	0.636	(A) Immunomodulatory
DHX58	17q21.2	0.64	0.16	0.45	0.28	0.48	0.0771	0.475	(A) Immunomodulatory
LINC00693	3p24.1	0.65	0.18	0.55	0.26	0.48	0.0999	0.492	(A) Immunomodulatory
TIFA	4q25	0.67	0.19	0.38	0.19	0.48	0.0285	0.429	(A) Immunomodulatory
SLC25A28	10q24.2	0.52	0.04	0.50	0.07	0.48	0.0304	0.429	(A) Immunomodulatory
NCF1C	7q11.23	1.06	0.59	0.58	0.59	0.48	0.303	0.704	(A) Immunomodulatory
XCR1	3p21.31	0.69	0.21	0.66	0.37	0.48	0.176	0.588	(A) Immunomodulatory
CDSN	6p21.33	0.53	0.06	0.74	0.10	0.48	0.114	0.505	(A) Immunomodulatory
TMEM71	8q24.22	0.73	0.26	0.67	0.28	0.48	0.134	0.537	(A) Immunomodulatory
PTPN5	11p15.1	0.73	0.26	0.70	0.44	0.48	0.241	0.650	(A) Immunomodulatory
LGALS3BP	17q25	0.48	0.01	0.48	0.01	0.48	0.0273	0.426	(A) Immunomodulatory
SH2D1A	Xq25	1.44	0.97	0.36	0.74	0.47	0.384	0.755	(A) Immunomodulatory
APOBEC3H	22q13.1	0.96	0.49	0.68	0.76	0.47	0.409	0.773	(A) Immunomodulatory
IGDCC3	15q22.31	0.76	0.29	0.17	0.50	0.47	0.237	0.646	(A) Immunomodulatory
IER5	1q25.3	0.54	0.07	0.39	0.06	0.47	0.0113	0.357	(A) Immunomodulatory
LYZ	12q15	1.17	0.70	0.61	0.80	0.47	0.425	0.779	(A) Immunomodulatory
SCO2	22q13.33	0.50	0.03	0.42	0.05	0.47	0.0164	0.390	(A) Immunomodulatory
RPS28	19p13.2	0.53	0.06	0.44	0.10	0.47	0.0217	0.413	(A) Immunomodulatory
C19ORF38	19p13.2	0.76	0.29	0.55	0.31	0.47	0.121	0.515	(A) Immunomodulatory
NCK1	3q22.3	0.51	0.04	0.40	0.08	0.47	0.0136	0.373	(A) Immunomodulatory
C1QA	1p36.12	0.71	0.24	0.53	0.42	0.47	0.189	0.600	(A) Immunomodulatory
GLYAT	11q12.1	1.04	0.57	0.65	0.99	0.47	0.511	0.824	(A) Immunomodulatory
SPATA24	5q31.2	0.57	0.11	0.37	0.18	0.47	0.0251	0.424	(A) Immunomodulatory
C22ORF31	22q12.1	0.70	0.23	0.95	0.33	0.47	0.428	0.782	(A) Immunomodulatory
CD3D	11q23.3	1.51	1.04	0.32	0.74	0.47	0.389	0.759	(A) Immunomodulatory
SCG3	15q21.2	0.77	0.31	0.81	0.53	0.47	0.322	0.720	(A) Immunomodulatory
TCEAL2	Xq22.1	0.99	0.52	0.70	0.53	0.47	0.289	0.692	(A) Immunomodulatory
PRDX6-AS1	1q25.1	0.59	0.13	0.43	0.12	0.47	0.0220	0.414	(A) Immunomodulatory
SYCE1L	16q23.1	0.84	0.38	0.73	0.65	0.47	0.365	0.744	(A) Immunomodulatory
IL21R	16p12.1	1.13	0.66	0.54	0.59	0.47	0.310	0.709	(A) Immunomodulatory
IRF9	14q12	0.58	0.12	0.37	0.20	0.47	0.0327	0.429	(A) Immunomodulatory
CNIH2	11q13.2	0.77	0.30	0.83	0.52	0.47	0.310	0.710	(A) Immunomodulatory
GAS6	13q34	0.59	0.12	0.38	0.21	0.46	0.0381	0.429	(A) Immunomodulatory
APLP1	19q13.12	0.58	0.11	0.70	0.20	0.46	0.124	0.521	(A) Immunomodulatory
RGS1	1q31.2	1.52	1.05	0.62	0.71	0.46	0.385	0.756	(A) Immunomodulatory
NR2E1	6q21	0.57	0.10	0.64	0.14	0.46	0.0999	0.492	(A) Immunomodulatory
BOLA1	1q21.2	0.56	0.10	0.47	0.17	0.46	0.0409	0.430	(A) Immunomodulatory
CSF3R	1p34.3	0.51	0.04	0.45	0.08	0.46	0.0238	0.415	(A) Immunomodulatory
BAIAP2L2	22q13.1	0.55	0.08	0.57	0.14	0.46	0.0627	0.454	(A) Immunomodulatory
KRT14	17q21.2	0.85	0.38	0.67	0.66	0.46	0.367	0.744	(A) Immunomodulatory
FAM156A	Xp11.22	0.47	0.00	0.57	0.00	0.46	0.0554	0.448	(A) Immunomodulatory
GIMAP5	7q36.1	1.16	0.70	0.34	0.62	0.46	0.325	0.723	(A) Immunomodulatory
H3-3A	1q42.12	0.48	0.02	0.58	0.03	0.46	0.0576	0.451	(A) Immunomodulatory
DCC	18q21.2	0.95	0.48	0.67	0.50	0.46	0.273	0.678	(A) Immunomodulatory
TSHR	14q24-q31	0.95	0.49	0.67	0.50	0.46	0.269	0.675	(A) Immunomodulatory
SLA2	20q11.23	1.28	0.81	0.37	0.71	0.46	0.378	0.750	(A) Immunomodulatory
STAC3	12q13.3	0.58	0.12	0.42	0.21	0.46	0.0422	0.430	(A) Immunomodulatory
NUB1	7q36.1	0.62	0.15	0.33	0.16	0.46	0.0137	0.374	(A) Immunomodulatory
PPP4R4	14q32.2	0.61	0.15	0.88	0.25	0.46	0.212	0.624	(A) Immunomodulatory
FMO6P	1q24.3	0.72	0.26	0.81	0.29	0.46	0.196	0.608	(A) Immunomodulatory
CTSW	11q13.1	1.29	0.83	0.59	0.74	0.46	0.406	0.771	(A) Immunomodulatory
APOBEC3G	22q13.1	1.10	0.64	0.51	0.61	0.46	0.329	0.725	(A) Immunomodulatory
CSN1S1	4q13.3	1.72	1.26	1.99	0.17	0.46	0.676	0.896	(A) Immunomodulatory
KLRD1	12p13.2	1.12	0.66	0.50	0.55	0.46	0.285	0.688	(A) Immunomodulatory
RGS10	10q26.11	0.48	0.02	0.56	0.04	0.46	0.0529	0.446	(A) Immunomodulatory
