Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
AQP7P1	9q13	0.72	0.01	0.83	0.03	0.71	0.0626	0.692	(A) Basal-Like 1
MSLN	16p13.3	2.18	1.46	0.94	1.58	0.71	0.305	0.776	(A) Basal-Like 1
EPYC	12q21.33	0.77	0.06	1.02	0.18	0.71	0.116	0.694	(A) Basal-Like 1
IL9R	Xq28 and Yq12	0.71	0.00	0.65	0.01	0.71	0.0281	0.692	(A) Basal-Like 1
LINC00605	14q32.32	1.35	0.64	0.82	0.60	0.71	0.192	0.718	(A) Basal-Like 1
CDKN2A-AS1	9p21.3	0.96	0.25	0.67	0.30	0.71	0.124	0.699	(A) Basal-Like 1
C9ORF72	9p21.2	0.74	0.04	0.49	0.07	0.71	8.424e-3	0.692	(A) Basal-Like 1
NOXA1	9q34.3	0.89	0.19	0.69	0.27	0.71	0.0359	0.692	(A) Basal-Like 1
ABCC11	16q12.1	1.30	0.59	1.33	1.06	0.71	0.285	0.766	(A) Basal-Like 1
LINC00582	1q42.2	0.84	0.14	0.69	0.31	0.71	0.0597	0.692	(A) Basal-Like 1
ERCC6L2-AS1	9q22.32	0.75	0.04	0.63	0.10	0.70	0.0245	0.692	(A) Basal-Like 1
OR3A1	17p13.3	0.76	0.06	0.40	0.08	0.70	0.234	0.742	(A) Basal-Like 1
HS3ST5	6q21-q22.1	0.76	0.06	0.65	0.10	0.70	0.0291	0.692	(A) Basal-Like 1
LINC02899	5p14.2	0.85	0.15	1.11	0.25	0.70	0.186	0.714	(A) Basal-Like 1
NAT16	7q22.1	0.91	0.21	0.93	0.46	0.70	0.182	0.714	(A) Basal-Like 1
CD300E	17q25.1	1.02	0.32	0.66	0.52	0.70	0.0417	0.692	(A) Basal-Like 1
FCRL5	1q23.1	0.77	0.07	0.62	0.16	0.70	0.0239	0.692	(A) Basal-Like 1
NLRP7	19q13.42	0.91	0.21	1.13	0.57	0.70	0.177	0.714	(A) Basal-Like 1
