Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
KLHL26	19p13.11	0.06	0.08	0.16	0.16	-0.02	0.814	0.956	(B) Mesenchymal
ZNF469	16q24.2	1.01	1.03	0.74	0.86	-0.02	0.961	0.993	(B) Mesenchymal
NEK1	4q33	0.23	0.25	0.36	0.37	-0.02	0.915	0.983	(B) Mesenchymal
IRAK1BP1	6q14.1	0.39	0.41	0.47	0.39	-0.02	0.930	0.987	(B) Mesenchymal
ULK4P2	15q13.2	0.17	0.19	0.30	0.37	-0.02	0.912	0.983	(B) Mesenchymal
TMEM158	3p21.31	0.66	0.68	0.61	0.69	-0.02	0.952	0.990	(B) Mesenchymal
PLK5	19p13.3	0.52	0.54	0.84	0.81	-0.02	0.974	0.995	(B) Mesenchymal
ERGIC1	5q35.1	0.04	0.06	0.07	0.10	-0.02	0.652	0.908	(B) Mesenchymal
LGR6	1q32.1	1.05	1.07	1.01	0.85	-0.02	0.967	0.995	(B) Mesenchymal
CRYBG3	3q11.2	0.17	0.19	0.39	0.37	-0.02	0.919	0.984	(B) Mesenchymal
NDUFA9	12p13.3	0.40	0.42	0.44	0.52	-0.02	0.934	0.988	(B) Mesenchymal
TCF25	16q24.3	0.12	0.14	0.26	0.30	-0.02	0.889	0.975	(B) Mesenchymal
UQCC2	6p21.31	0.21	0.23	0.22	0.35	-0.02	0.889	0.975	(B) Mesenchymal
GYPE	4q31.21	0.19	0.21	0.34	0.26	-0.02	0.898	0.979	(B) Mesenchymal
FAM167A	8p23.1	0.33	0.35	0.64	0.67	-0.02	0.952	0.990	(B) Mesenchymal
ACSL1	4q35.1	0.24	0.26	0.31	0.52	-0.02	0.924	0.985	(B) Mesenchymal
CD27-AS1	12p13.31	0.37	0.39	0.47	0.58	-0.02	0.940	0.989	(B) Mesenchymal
MEIS2	15q14	0.11	0.13	0.16	0.17	-0.02	0.813	0.955	(B) Mesenchymal
PCNX1	14q24.2	0.07	0.09	0.14	0.21	-0.02	0.818	0.957	(B) Mesenchymal
SLC38A11	2q24.3	0.27	0.29	0.37	0.42	-0.02	0.926	0.986	(B) Mesenchymal
CST3	20p11.21	0.04	0.06	0.07	0.17	-0.02	0.745	0.936	(B) Mesenchymal
AQR	15q14	0.06	0.08	0.16	0.08	-0.02	0.759	0.941	(B) Mesenchymal
ZNF137P	19q13.41	0.27	0.29	0.40	0.39	-0.02	0.921	0.984	(B) Mesenchymal
UMAD1	7p21.3	0.08	0.10	0.20	0.18	-0.02	0.837	0.962	(B) Mesenchymal
MRPS33	7q34	0.51	0.53	0.50	0.46	-0.02	0.934	0.988	(B) Mesenchymal
USP1	1p31.3	0.62	0.64	0.44	0.55	-0.02	0.935	0.988	(B) Mesenchymal
SMIM22	16p13.3	0.19	0.21	0.21	0.45	-0.02	0.907	0.982	(B) Mesenchymal
PAN3-AS1	13q12.2	0.28	0.30	0.37	0.37	-0.02	0.913	0.983	(B) Mesenchymal
PRDM12	9q34.12	0.48	0.50	0.62	0.46	-0.02	0.945	0.989	(B) Mesenchymal
PIGY	4q22.1	0.43	0.45	0.41	0.49	-0.02	0.929	0.987	(B) Mesenchymal
PYURF	4q22.1	0.43	0.45	0.41	0.49	-0.02	0.929	0.987	(B) Mesenchymal
PPP1R3G	6p25.1	0.19	0.21	0.34	0.34	-0.02	0.907	0.982	(B) Mesenchymal
ANKRD65	1p36.33	0.27	0.29	0.47	0.39	-0.02	0.927	0.986	(B) Mesenchymal
MPI	15q24.1	0.12	0.14	0.23	0.24	-0.02	0.863	0.968	(B) Mesenchymal
GOLGA8J	15q13.2	0.27	0.29	0.40	0.54	-0.02	0.932	0.987	(B) Mesenchymal
SLC66A1	1p36.13	0.12	0.14	0.19	0.21	-0.02	0.838	0.962	(B) Mesenchymal
OGFR	20q13.33	0.18	0.20	0.34	0.41	-0.02	0.915	0.983	(B) Mesenchymal
C6ORF120	6q27	0.19	0.21	0.25	0.32	-0.02	0.888	0.975	(B) Mesenchymal
UTS2R	17q25.3	0.22	0.24	0.27	0.53	-0.02	0.940	0.989	(B) Mesenchymal
HNRNPDL	4q21.22	0.07	0.09	0.13	0.15	-0.02	0.771	0.944	(B) Mesenchymal
MTRNR2L8	11p15.4	0.14	0.17	0.32	0.44	-0.02	0.926	0.986	(B) Mesenchymal
REST	4q12	0.17	0.19	0.33	0.29	-0.02	0.898	0.979	(B) Mesenchymal
PRH2	12p13.2	0.41	0.43	0.54	0.65	-0.02	0.945	0.989	(B) Mesenchymal
FAM178B	2q11.2	0.51	0.53	1.00	0.67	-0.02	0.963	0.994	(B) Mesenchymal
FIRRE	Xq26.2	0.85	0.87	0.87	0.63	-0.02	0.959	0.992	(B) Mesenchymal
SYBU	8q23.2	0.43	0.45	0.54	0.57	-0.02	0.941	0.989	(B) Mesenchymal
CLEC1A	12p13.2	0.10	0.12	0.18	0.19	-0.02	0.821	0.957	(B) Mesenchymal
WASH5P	19p13.3	0.28	0.30	0.36	0.42	-0.02	0.915	0.983	(B) Mesenchymal
GPC4	Xq26.2	0.39	0.41	0.64	0.81	-0.02	0.954	0.991	(B) Mesenchymal
DVL2	17p13.1	0.14	0.17	0.22	0.23	-0.02	0.854	0.965	(B) Mesenchymal
KAT8	16p11.2	0.19	0.21	0.32	0.28	-0.02	0.893	0.977	(B) Mesenchymal
NIFK	2q14.3	0.41	0.43	0.45	0.38	-0.02	0.922	0.985	(B) Mesenchymal
GOT2	16q21	0.22	0.24	0.30	0.31	-0.02	0.893	0.977	(B) Mesenchymal
KIF9-AS1	3p21.31	0.30	0.32	0.36	0.35	-0.02	0.907	0.982	(B) Mesenchymal
TIGD2	4q22.1	0.37	0.39	0.29	0.48	-0.02	0.914	0.983	(B) Mesenchymal
COMP	19p13.11	0.37	0.39	0.48	0.61	-0.02	0.939	0.989	(B) Mesenchymal
SUSD6	14q24.1	0.10	0.12	0.17	0.23	-0.02	0.833	0.961	(B) Mesenchymal
NBPF12	1q21.1	0.24	0.26	0.36	0.40	-0.02	0.912	0.983	(B) Mesenchymal
XIST	Xq13.2	0.28	0.30	0.50	0.42	-0.02	0.929	0.987	(B) Mesenchymal
PAPOLA	14q32.2	0.10	0.12	0.12	0.24	-0.02	0.821	0.957	(B) Mesenchymal
TENT2	5q14.1	0.12	0.14	0.21	0.36	-0.02	0.884	0.974	(B) Mesenchymal
AP3S1	5q22.3-q23.1	0.16	0.18	0.13	0.29	-0.02	0.849	0.965	(B) Mesenchymal
BDH2	4q24	0.17	0.19	0.29	0.20	-0.02	0.870	0.970	(B) Mesenchymal
ANXA8	10q11.22	0.58	0.60	0.78	0.86	-0.02	0.959	0.992	(B) Mesenchymal
HLA-DRB1	6p21.32	0.12	0.14	0.32	0.28	-0.02	0.889	0.975	(B) Mesenchymal
ATP10A	15q12	0.08	0.10	0.12	0.19	-0.02	0.781	0.946	(B) Mesenchymal
TRUB2	9q34.11	0.31	0.33	0.32	0.30	-0.02	0.892	0.977	(B) Mesenchymal
UGT2B11	4q13.2	0.49	0.52	0.47	1.03	-0.02	0.971	0.995	(B) Mesenchymal
MRPL30	2q11.2	0.29	0.31	0.39	0.27	-0.02	0.902	0.981	(B) Mesenchymal
SLC4A9	5q31.3	0.33	0.36	0.58	0.32	-0.02	0.955	0.991	(B) Mesenchymal
OASL	12q24.31	0.56	0.59	0.61	0.75	-0.02	0.949	0.990	(B) Mesenchymal
GRTP1	13q34	0.42	0.45	0.53	0.75	-0.02	0.946	0.989	(B) Mesenchymal
SWINGN	13q34	0.38	0.40	0.54	0.76	-0.02	0.947	0.989	(B) Mesenchymal
MPP4	2q33.1	0.20	0.22	0.36	0.34	-0.02	0.903	0.981	(B) Mesenchymal
BPHL	6p25.2	0.45	0.47	0.42	0.43	-0.02	0.919	0.984	(B) Mesenchymal
SDHAF1	19q13.12	0.29	0.31	0.42	0.37	-0.02	0.913	0.983	(B) Mesenchymal
PACRG-AS3	6q26	0.31	0.33	0.32	0.58	-0.02	0.955	0.991	(B) Mesenchymal
FERMT1	20p12.3	0.92	0.94	0.89	0.76	-0.02	0.959	0.992	(B) Mesenchymal
GEMIN8P4	1p22.2	0.60	0.63	0.31	0.43	-0.02	0.905	0.981	(B) Mesenchymal
VCP	9p13.3	0.29	0.31	0.45	0.37	-0.02	0.917	0.984	(B) Mesenchymal
ENPP6	4q35.1	0.32	0.34	0.43	0.53	-0.02	0.927	0.986	(B) Mesenchymal
POMK	8p11.21	0.67	0.69	0.74	0.70	-0.02	0.952	0.990	(B) Mesenchymal
PCBP3	21q22.3	0.67	0.69	0.72	0.87	-0.02	0.956	0.991	(B) Mesenchymal
DYNLT4	1p34.1	0.26	0.28	0.49	0.39	-0.02	0.927	0.986	(B) Mesenchymal
PHACTR2	6q24.2	0.10	0.12	0.17	0.36	-0.02	0.872	0.970	(B) Mesenchymal
C6ORF118	6q27	0.47	0.50	0.65	0.76	-0.02	0.961	0.993	(B) Mesenchymal
TNPO1	5q13.2	0.09	0.11	0.22	0.23	-0.02	0.844	0.963	(B) Mesenchymal
HPS3	3q24	0.07	0.09	0.17	0.14	-0.02	0.781	0.946	(B) Mesenchymal
STX7	6q23.2	0.03	0.05	0.06	0.10	-0.02	0.586	0.885	(B) Mesenchymal
LINC01473	2q32.1	0.19	0.21	0.42	0.28	-0.02	0.917	0.984	(B) Mesenchymal
DCAF16	4p15.31	0.19	0.21	0.21	0.29	-0.02	0.858	0.967	(B) Mesenchymal
CSK	15q24.1	0.17	0.20	0.26	0.28	-0.02	0.869	0.970	(B) Mesenchymal
SPOCK2	10q22.1	0.29	0.31	0.40	0.84	-0.02	0.944	0.989	(B) Mesenchymal
PSMA7	20q13.33	0.34	0.37	0.40	0.37	-0.02	0.909	0.982	(B) Mesenchymal
HSF1	8q24.3	0.53	0.55	0.33	0.45	-0.02	0.909	0.982	(B) Mesenchymal
DDX3X	Xp11.4	0.02	0.04	0.05	0.09	-0.02	0.520	0.862	(B) Mesenchymal
PDE6B	4p16.3	0.46	0.48	0.61	0.59	-0.02	0.940	0.989	(B) Mesenchymal
ZNF106	15q15.1	0.03	0.06	0.09	0.11	-0.02	0.651	0.908	(B) Mesenchymal
PTK6	20q13.33	0.60	0.62	0.63	0.66	-0.02	0.944	0.989	(B) Mesenchymal
KCNK10	14q31.3	0.32	0.34	0.46	0.42	-0.02	0.927	0.986	(B) Mesenchymal
KDSR	18q21.33	0.33	0.35	0.44	0.36	-0.02	0.912	0.983	(B) Mesenchymal
PXK	3p14.3	0.02	0.04	0.04	0.11	-0.02	0.566	0.879	(B) Mesenchymal
SOX8	16p13.3	1.54	1.56	0.88	0.93	-0.02	0.960	0.993	(B) Mesenchymal
RND1	12q13.12	0.41	0.43	0.74	0.61	-0.02	0.947	0.989	(B) Mesenchymal
C2ORF69	2q33.1	0.43	0.45	0.43	0.52	-0.02	0.923	0.985	(B) Mesenchymal
HTRA3	4p16.1	0.21	0.23	0.36	0.30	-0.02	0.891	0.977	(B) Mesenchymal
NRBF2	10q21.3	0.18	0.20	0.28	0.32	-0.02	0.879	0.972	(B) Mesenchymal
XYLT2	17q21.33	0.08	0.10	0.21	0.16	-0.02	0.810	0.955	(B) Mesenchymal
TRAF3IP1	2q37.3	0.18	0.20	0.22	0.30	-0.02	0.859	0.967	(B) Mesenchymal
TLR3	4q35.1	0.05	0.07	0.12	0.15	-0.02	0.728	0.931	(B) Mesenchymal
ZNF598	16p13.3	0.43	0.45	0.43	0.47	-0.02	0.918	0.984	(B) Mesenchymal
MAT2A	2p11.2	0.17	0.20	0.21	0.20	-0.02	0.823	0.958	(B) Mesenchymal
GUSBP2	6p22.2	0.34	0.36	0.49	0.50	-0.02	0.925	0.986	(B) Mesenchymal
MPZL3	11q23.3	0.51	0.53	0.44	0.46	-0.02	0.918	0.984	(B) Mesenchymal
SPTLC2	14q24.3	0.04	0.07	0.10	0.14	-0.02	0.699	0.924	(B) Mesenchymal
SQSTM1	5q35.3	0.07	0.10	0.19	0.29	-0.02	0.845	0.963	(B) Mesenchymal
SNHG32	6p21.33	0.29	0.31	0.31	0.35	-0.02	0.887	0.975	(B) Mesenchymal
FNDC3B	3q26.31	0.20	0.22	0.27	0.29	-0.02	0.868	0.970	(B) Mesenchymal
SLC38A2	12q13.11	0.18	0.20	0.18	0.32	-0.02	0.854	0.965	(B) Mesenchymal
FAM200B	4p15.32	0.29	0.32	0.23	0.36	-0.02	0.874	0.971	(B) Mesenchymal
CTXND1	15q25.1	0.32	0.35	0.42	0.38	-0.02	0.908	0.982	(B) Mesenchymal
CCDC74B	2q21.1	0.36	0.39	0.59	0.63	-0.02	0.939	0.989	(B) Mesenchymal
IL1RAPL2	Xq22.3	0.04	0.06	0.05	0.15	-0.02	0.739	0.934	(B) Mesenchymal
MNX1	7q36.3	0.63	0.66	0.41	0.87	-0.02	0.946	0.989	(B) Mesenchymal
FNDC9	5q33.3	0.21	0.23	0.47	0.52	-0.02	0.940	0.989	(B) Mesenchymal
MTRFR	12q24.31	0.16	0.18	0.32	0.32	-0.02	0.883	0.973	(B) Mesenchymal
LINC00163	21q22.3	0.24	0.27	0.42	0.29	-0.02	0.933	0.988	(B) Mesenchymal
HEXIM2	17q21.31	0.15	0.17	0.11	0.27	-0.02	0.811	0.955	(B) Mesenchymal
COMMD9	11p13	0.17	0.19	0.22	0.29	-0.02	0.852	0.965	(B) Mesenchymal
SLC25A48	5q31.1	0.58	0.61	0.83	0.83	-0.02	0.975	0.995	(B) Mesenchymal
FBXL12	19p13.2	0.09	0.12	0.17	0.16	-0.02	0.775	0.946	(B) Mesenchymal
B4GALT1-AS1	9p21.1	0.36	0.38	0.46	0.45	-0.02	0.917	0.984	(B) Mesenchymal
APOC4	19q13.32	0.05	0.08	0.11	0.17	-0.02	0.804	0.954	(B) Mesenchymal
RMND5A	2p11.2	0.36	0.39	0.39	0.32	-0.02	0.895	0.978	(B) Mesenchymal
C1ORF220	1q25.2	0.17	0.19	0.34	0.29	-0.02	0.882	0.973	(B) Mesenchymal
COX17	3q13.33	0.22	0.24	0.31	0.27	-0.02	0.870	0.970	(B) Mesenchymal
PITX2	4q25	0.43	0.46	0.63	0.77	-0.02	0.945	0.989	(B) Mesenchymal
ATPAF1	1p33	0.34	0.36	0.44	0.39	-0.02	0.909	0.982	(B) Mesenchymal
RDH16	12q13.3	0.37	0.39	0.63	0.58	-0.02	0.937	0.988	(B) Mesenchymal
GRB14	2q24.3	1.17	1.19	0.82	1.16	-0.02	0.961	0.993	(B) Mesenchymal
LRFN4	11q13.2	0.64	0.66	0.41	0.37	-0.02	0.903	0.981	(B) Mesenchymal
YBX1	1p34.2	0.32	0.35	0.35	0.46	-0.02	0.905	0.981	(B) Mesenchymal
AMZ1	7p22.3	0.32	0.35	0.46	0.57	-0.02	0.925	0.986	(B) Mesenchymal
EFCAB11	14q32.11	0.14	0.17	0.21	0.26	-0.02	0.836	0.962	(B) Mesenchymal
EMC7	15q14	0.08	0.10	0.14	0.16	-0.02	0.743	0.935	(B) Mesenchymal
TANGO6	16q22.1	0.01	0.03	0.03	0.07	-0.02	0.367	0.803	(B) Mesenchymal
HNRNPM	19p13.2	0.18	0.20	0.29	0.25	-0.02	0.862	0.968	(B) Mesenchymal
CEP152	15q21.1	0.34	0.37	0.27	0.57	-0.02	0.910	0.982	(B) Mesenchymal
PRSS36	16p11.2	0.11	0.14	0.15	0.29	-0.02	0.829	0.960	(B) Mesenchymal
LTO1	11q13.2	0.26	0.28	0.33	0.34	-0.02	0.884	0.974	(B) Mesenchymal
ULK4	3p22.1	0.11	0.14	0.20	0.22	-0.02	0.816	0.956	(B) Mesenchymal
TACSTD2	1p32.1	0.68	0.70	0.55	0.69	-0.02	0.937	0.988	(B) Mesenchymal
BOLL	2q33.1	0.25	0.27	0.38	0.42	-0.02	0.903	0.981	(B) Mesenchymal
VAPA	18p11.22	0.26	0.28	0.17	0.27	-0.02	0.825	0.959	(B) Mesenchymal
GABRE	Xq28	0.67	0.69	0.91	0.88	-0.02	0.957	0.992	(B) Mesenchymal
C3ORF18	3p21.31	0.12	0.14	0.17	0.20	-0.02	0.790	0.949	(B) Mesenchymal
CAPN1	11q13.1	0.14	0.16	0.24	0.35	-0.02	0.869	0.970	(B) Mesenchymal
LINC01089	12q24.31	0.31	0.34	0.52	0.38	-0.02	0.916	0.984	(B) Mesenchymal
ANKRD44-IT1	2q33.1	0.21	0.23	0.42	0.51	-0.03	0.928	0.987	(B) Mesenchymal
CPNE2	16q13	0.29	0.32	0.37	0.29	-0.03	0.886	0.974	(B) Mesenchymal
MAOA	Xp11.3	0.15	0.18	0.33	0.29	-0.03	0.876	0.972	(B) Mesenchymal
WFDC3	20q13.12	0.36	0.38	0.50	0.50	-0.03	0.924	0.985	(B) Mesenchymal
GTF2A2	15q22.2	0.19	0.22	0.34	0.28	-0.03	0.877	0.972	(B) Mesenchymal
HDAC9	7p21.1	0.24	0.26	0.31	0.43	-0.03	0.894	0.978	(B) Mesenchymal
PHLPP2	16q22.2	0.22	0.25	0.26	0.26	-0.03	0.852	0.965	(B) Mesenchymal
AOX1	2q33.1	0.09	0.12	0.25	0.34	-0.03	0.865	0.968	(B) Mesenchymal
FOXM1	12p13.33	0.69	0.72	0.50	0.76	-0.03	0.937	0.988	(B) Mesenchymal
CA9	9p13.3	0.54	0.57	0.81	0.87	-0.03	0.953	0.990	(B) Mesenchymal
THAP1	8p11.21	0.33	0.36	0.48	0.42	-0.03	0.914	0.983	(B) Mesenchymal
TFAP2A-AS2	6p24.3	0.36	0.38	0.38	0.29	-0.03	0.886	0.974	(B) Mesenchymal
EIF2A	3q25.1	0.13	0.16	0.21	0.26	-0.03	0.830	0.960	(B) Mesenchymal
SMAD5	5q31.1	0.24	0.26	0.26	0.45	-0.03	0.889	0.975	(B) Mesenchymal
CFAP20	16q21	0.24	0.26	0.25	0.32	-0.03	0.861	0.968	(B) Mesenchymal
NUDT12	5q21.2	0.23	0.25	0.26	0.26	-0.03	0.848	0.965	(B) Mesenchymal
ADGRD1	12q24.33	0.26	0.28	0.44	0.44	-0.03	0.910	0.982	(B) Mesenchymal
SFXN2	10q24.32	0.35	0.38	0.48	0.44	-0.03	0.914	0.983	(B) Mesenchymal
TTF1	9q34.13	0.18	0.21	0.15	0.34	-0.03	0.843	0.963	(B) Mesenchymal
LINC01585	15q26.1	0.54	0.56	0.54	0.49	-0.03	0.933	0.988	(B) Mesenchymal
KDM4A-AS1	1p34.2-p34.1	0.29	0.32	0.37	0.45	-0.03	0.902	0.981	(B) Mesenchymal
GSTA4	6p12.2	0.39	0.42	0.38	0.38	-0.03	0.895	0.978	(B) Mesenchymal
COMMD2	3q25.1	0.25	0.27	0.42	0.38	-0.03	0.902	0.981	(B) Mesenchymal
CD207	2p13.3	0.77	0.80	0.98	0.72	-0.03	0.954	0.991	(B) Mesenchymal
TTC9C	11q12.3	0.17	0.19	0.20	0.23	-0.03	0.817	0.957	(B) Mesenchymal
EPN2	17p11.2	0.37	0.40	0.33	0.61	-0.03	0.915	0.983	(B) Mesenchymal
CDK5	7q36.1	0.41	0.44	0.40	0.47	-0.03	0.907	0.982	(B) Mesenchymal
INTS3	1q21.3	0.40	0.43	0.38	0.56	-0.03	0.914	0.983	(B) Mesenchymal
SLC38A4	12q13.11	0.15	0.18	0.40	0.48	-0.03	0.908	0.982	(B) Mesenchymal
PROB1	5q31.2	0.15	0.18	0.26	0.35	-0.03	0.868	0.969	(B) Mesenchymal
GRB2	17q25.1	0.08	0.10	0.14	0.22	-0.03	0.778	0.946	(B) Mesenchymal
TTC21B	2q24.3	0.29	0.32	0.24	0.31	-0.03	0.852	0.965	(B) Mesenchymal
C2ORF68	2p11.2	0.24	0.27	0.35	0.31	-0.03	0.878	0.972	(B) Mesenchymal
RBX1	22q13.2	0.27	0.30	0.29	0.42	-0.03	0.885	0.974	(B) Mesenchymal
CCDC184	12q13.11	0.19	0.22	0.43	0.42	-0.03	0.905	0.981	(B) Mesenchymal
HACD4	9p21.3	0.09	0.12	0.24	0.22	-0.03	0.828	0.960	(B) Mesenchymal
RFPL3S	22q12.3	0.62	0.64	0.50	0.56	-0.03	0.923	0.985	(B) Mesenchymal
GTF2IRD2	7q11.23	0.21	0.24	0.30	0.30	-0.03	0.865	0.968	(B) Mesenchymal
ZNF879	5q35.3	0.30	0.32	0.47	0.42	-0.03	0.909	0.982	(B) Mesenchymal
OSER1	20q13.12	0.31	0.33	0.37	0.26	-0.03	0.875	0.972	(B) Mesenchymal
NDUFS1	2q33.3	0.33	0.36	0.42	0.29	-0.03	0.890	0.976	(B) Mesenchymal
ACVR2B	3p22.2	0.24	0.27	0.27	0.31	-0.03	0.857	0.966	(B) Mesenchymal
ARID4A	14q23.1	0.10	0.13	0.26	0.30	-0.03	0.854	0.965	(B) Mesenchymal
H2AC21	1q21.2	0.38	0.40	0.52	0.50	-0.03	0.941	0.989	(B) Mesenchymal
TPT1	13q14.13	0.04	0.07	0.07	0.20	-0.03	0.723	0.929	(B) Mesenchymal
BOLA3	2p13.1	0.50	0.53	0.58	0.48	-0.03	0.924	0.985	(B) Mesenchymal
GLYAT	11q12.1	0.50	0.53	0.63	0.74	-0.03	0.945	0.989	(B) Mesenchymal
ATG3	3q13.2	0.21	0.23	0.16	0.30	-0.03	0.826	0.959	(B) Mesenchymal
VPS13C	15q22.2	0.06	0.09	0.16	0.26	-0.03	0.805	0.954	(B) Mesenchymal
GAREM1	18q12.1	0.33	0.35	0.45	0.58	-0.03	0.919	0.984	(B) Mesenchymal
NLRP1	17p13	0.06	0.09	0.15	0.19	-0.03	0.754	0.939	(B) Mesenchymal
KAT14	20p11.23	0.21	0.24	0.37	0.25	-0.03	0.873	0.971	(B) Mesenchymal
SLC43A2	17p13.3	0.23	0.25	0.44	0.41	-0.03	0.904	0.981	(B) Mesenchymal
CRACR2A	12p13.32	0.35	0.38	0.62	0.59	-0.03	0.932	0.987	(B) Mesenchymal
ALDOA	16p11.2	0.11	0.14	0.21	0.21	-0.03	0.802	0.952	(B) Mesenchymal
ALDOB	9q31.1	0.35	0.38	0.61	0.64	-0.03	0.933	0.988	(B) Mesenchymal
BAMBI	10p12.1	0.77	0.79	0.38	0.66	-0.03	0.921	0.984	(B) Mesenchymal
LINC00630	Xq22.1	0.34	0.36	0.44	0.42	-0.03	0.903	0.981	(B) Mesenchymal
AQP5	12q13.12	1.23	1.25	0.92	0.65	-0.03	0.949	0.990	(B) Mesenchymal
RPS6KB2	11q13.2	0.31	0.34	0.32	0.37	-0.03	0.877	0.972	(B) Mesenchymal
SUCLA2	13q14.2	0.12	0.14	0.15	0.28	-0.03	0.807	0.954	(B) Mesenchymal
CEP68	2p14	0.14	0.17	0.37	0.26	-0.03	0.874	0.971	(B) Mesenchymal
SPP1	4q22.1	0.50	0.52	0.66	0.63	-0.03	0.935	0.988	(B) Mesenchymal
TCF12	15q21.3	0.08	0.11	0.11	0.32	-0.03	0.816	0.956	(B) Mesenchymal
SIDT1	3q13.2	0.06	0.09	0.12	0.26	-0.03	0.782	0.947	(B) Mesenchymal
IFI16	1q23.1	0.13	0.16	0.36	0.48	-0.03	0.899	0.980	(B) Mesenchymal
METTL25	12q21.31	0.18	0.21	0.26	0.32	-0.03	0.853	0.965	(B) Mesenchymal
TBP	6q27	0.29	0.31	0.31	0.36	-0.03	0.873	0.971	(B) Mesenchymal
NIBAN1	1q25.3	0.07	0.10	0.19	0.29	-0.03	0.824	0.958	(B) Mesenchymal
BLZF1	1q24.2	0.33	0.35	0.29	0.54	-0.03	0.900	0.980	(B) Mesenchymal
LINC02898	2p21	0.64	0.67	0.72	1.00	-0.03	0.956	0.991	(B) Mesenchymal
TPM2	9p13.3	0.46	0.49	0.51	0.52	-0.03	0.918	0.984	(B) Mesenchymal
SLC25A20	3p21.31	0.16	0.19	0.20	0.40	-0.03	0.860	0.967	(B) Mesenchymal
ATP6V0C	16p13.3	0.10	0.13	0.18	0.24	-0.03	0.798	0.951	(B) Mesenchymal
PTPRH	19q13.42	0.52	0.55	0.73	0.67	-0.03	0.940	0.989	(B) Mesenchymal
SOCS2	12q22	0.23	0.26	0.45	0.38	-0.03	0.899	0.979	(B) Mesenchymal
SMARCB1	22q11.23	0.22	0.25	0.32	0.24	-0.03	0.853	0.965	(B) Mesenchymal
DCTN2	12q13.3	0.05	0.08	0.13	0.13	-0.03	0.688	0.921	(B) Mesenchymal
TTC33	5p13.1	0.23	0.26	0.47	0.35	-0.03	0.899	0.980	(B) Mesenchymal
CLK3	15q24.1	0.19	0.21	0.25	0.28	-0.03	0.837	0.962	(B) Mesenchymal
ZNF784	19q13.42	0.07	0.10	0.20	0.20	-0.03	0.784	0.947	(B) Mesenchymal
ANKRD55	5q11.2	0.13	0.16	0.35	0.23	-0.03	0.861	0.968	(B) Mesenchymal
PJA1	Xq13.1	0.03	0.06	0.09	0.10	-0.03	0.569	0.881	(B) Mesenchymal
CHRM5	15q14	0.21	0.23	0.32	0.40	-0.03	0.881	0.973	(B) Mesenchymal
NOTCH1	9q34.3	0.40	0.43	0.44	0.57	-0.03	0.914	0.983	(B) Mesenchymal
CCNF	16p13.3	0.28	0.31	0.27	0.44	-0.03	0.878	0.972	(B) Mesenchymal
GALNT8	12p13.32	0.24	0.26	0.47	0.57	-0.03	0.933	0.988	(B) Mesenchymal
LINC01126	2p21	0.46	0.49	0.56	0.49	-0.03	0.918	0.984	(B) Mesenchymal
BOP1	8q24.3	0.75	0.78	0.53	0.61	-0.03	0.924	0.985	(B) Mesenchymal
FPGT	1p31.1	0.22	0.25	0.29	0.35	-0.03	0.863	0.968	(B) Mesenchymal
NBR1	17q21.31	0.09	0.12	0.16	0.21	-0.03	0.763	0.942	(B) Mesenchymal
ATP6V0E1	5q35.1	0.12	0.15	0.19	0.21	-0.03	0.786	0.947	(B) Mesenchymal
RNF169	11q13.4	0.18	0.21	0.34	0.30	-0.03	0.866	0.969	(B) Mesenchymal
HS1BP3-IT1	2p24.1	0.25	0.28	0.50	0.34	-0.03	0.927	0.986	(B) Mesenchymal
GMPS	3q25.31	0.31	0.34	0.20	0.35	-0.03	0.844	0.963	(B) Mesenchymal
PTGES3L	17q21.31	0.32	0.35	0.36	0.48	-0.03	0.895	0.978	(B) Mesenchymal
EML2-AS1	19q13.32	0.36	0.39	0.56	0.42	-0.03	0.914	0.983	(B) Mesenchymal
SDHD	11q23.1	0.18	0.21	0.28	0.29	-0.03	0.846	0.964	(B) Mesenchymal
UPF3A	13q34	0.32	0.35	0.33	0.54	-0.03	0.900	0.980	(B) Mesenchymal
RNF138	18q12.1	0.38	0.41	0.40	0.43	-0.03	0.894	0.977	(B) Mesenchymal
LINC00243	6p21.33	0.08	0.11	0.21	0.32	-0.03	0.834	0.961	(B) Mesenchymal
CHST11	12q23.3	0.02	0.05	0.03	0.14	-0.03	0.571	0.881	(B) Mesenchymal
CUL1	7q36.1	0.30	0.33	0.30	0.34	-0.03	0.863	0.968	(B) Mesenchymal
DHX9	1q25.3	0.12	0.15	0.17	0.18	-0.03	0.753	0.938	(B) Mesenchymal
PDE6C	10q23.33	0.30	0.33	0.43	0.49	-0.03	0.945	0.989	(B) Mesenchymal
WDR24	16p13.3	0.25	0.28	0.36	0.35	-0.03	0.875	0.972	(B) Mesenchymal
KLB	4p14	0.34	0.37	0.42	0.49	-0.03	0.902	0.981	(B) Mesenchymal
INSM2	14q13.2	0.24	0.27	0.41	0.53	-0.03	0.939	0.989	(B) Mesenchymal
RPL36AL	14q21.3	0.12	0.14	0.18	0.30	-0.03	0.820	0.957	(B) Mesenchymal
SLC36A2	5q33.1	0.83	0.85	1.17	0.99	-0.03	0.979	0.996	(B) Mesenchymal
