Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
ZNF879	5q35.3	0.34	0.32	0.38	0.42	0.02	0.936	0.978	(A) Immunomodulatory
ABHD16A	6p21.33	0.24	0.25	0.32	0.33	-0.01	0.936	0.978	(B) Mesenchymal
GJA3	13q12.11	0.33	0.31	0.47	0.56	0.02	0.936	0.978	(A) Immunomodulatory
MFSD6	2q32.2	0.16	0.18	0.30	0.32	-0.01	0.936	0.978	(B) Mesenchymal
LCA5L	21q22.2	0.24	0.23	0.35	0.27	0.01	0.936	0.978	(A) Immunomodulatory
SLC35A5	3q13.2	0.22	0.23	0.18	0.30	-0.01	0.936	0.978	(B) Mesenchymal
THOC3	5q35.2	0.30	0.31	0.47	0.44	-0.02	0.937	0.978	(B) Mesenchymal
TGDS	13q32.1	0.18	0.19	0.17	0.32	-0.01	0.937	0.978	(B) Mesenchymal
HDGFL3	15q25.2	0.37	0.40	0.57	0.46	-0.02	0.937	0.978	(B) Mesenchymal
RAB9B	Xq22.2	0.32	0.34	0.42	0.52	-0.02	0.937	0.978	(B) Mesenchymal
BACE2	21q22.2-q22.3	0.32	0.31	0.47	0.32	0.02	0.937	0.978	(A) Immunomodulatory
PALLD	4q32.3	0.12	0.11	0.22	0.21	0.01	0.937	0.978	(A) Immunomodulatory
VPS4A	16q23.1	0.22	0.23	0.31	0.29	-0.01	0.937	0.978	(B) Mesenchymal
MMP24	20q11.22	0.25	0.24	0.41	0.42	0.02	0.937	0.978	(A) Immunomodulatory
CLTRN	Xp22.2	0.59	0.62	0.64	0.88	-0.03	0.937	0.978	(B) Mesenchymal
CPB1	3q24	1.04	1.08	1.06	1.22	-0.05	0.937	0.978	(B) Mesenchymal
C1QTNF9B	13q12.12	0.40	0.38	0.49	0.50	0.02	0.937	0.978	(A) Immunomodulatory
TRAF6	11p12	0.08	0.09	0.17	0.17	-0.01	0.937	0.978	(B) Mesenchymal
CPA3	3q24	0.45	0.42	0.68	0.66	0.03	0.938	0.979	(A) Immunomodulatory
BAAT	9q31.1	0.42	0.39	0.61	0.74	0.03	0.938	0.979	(A) Immunomodulatory
CERNA1	15q21.2	0.25	0.24	0.33	0.40	0.01	0.938	0.979	(A) Immunomodulatory
AKNAD1	1p13.3	0.32	0.29	0.65	0.27	0.03	0.938	0.979	(A) Immunomodulatory
ORC6	16q11.2	0.40	0.41	0.45	0.46	-0.02	0.938	0.979	(B) Mesenchymal
FGF1	5q31.3	0.33	0.35	0.29	0.71	-0.02	0.938	0.979	(B) Mesenchymal
PFKFB4	3p21.31	0.20	0.22	0.43	0.29	-0.01	0.938	0.979	(B) Mesenchymal
MAP2K6	17q24.3	0.42	0.44	0.34	0.67	-0.02	0.938	0.979	(B) Mesenchymal
LINC02043	3q27.3	0.53	0.51	0.65	0.61	0.03	0.938	0.979	(A) Immunomodulatory
UTP11	1p34.3	0.15	0.16	0.22	0.29	-0.01	0.938	0.979	(B) Mesenchymal
EIF3H	8q23.3-q24.11	0.30	0.28	0.46	0.47	0.02	0.939	0.979	(A) Immunomodulatory
JAGN1	3p25.3	0.43	0.41	0.50	0.52	0.02	0.939	0.979	(A) Immunomodulatory
ARMC7	17q25.1	0.18	0.20	0.28	0.46	-0.01	0.939	0.979	(B) Mesenchymal
CROCCP2	1p36.13	0.22	0.23	0.33	0.33	-0.01	0.939	0.979	(B) Mesenchymal
ARHGEF38	4q24	0.31	0.34	0.67	0.56	-0.02	0.939	0.979	(B) Mesenchymal
MTUS2-AS1	13q12.3	0.53	0.47	0.75	0.62	0.05	0.940	0.980	(A) Immunomodulatory
CPNE2	16q13	0.33	0.32	0.44	0.29	0.01	0.940	0.980	(A) Immunomodulatory
CD163L1	12p13.31	0.40	0.42	0.46	0.73	-0.02	0.940	0.980	(B) Mesenchymal
SORBS3	8p21.3	0.21	0.22	0.30	0.34	-0.01	0.940	0.980	(B) Mesenchymal
SIRT1	10q21.3	0.26	0.25	0.27	0.33	0.01	0.940	0.980	(A) Immunomodulatory
GPATCH2L	14q24.3	0.14	0.14	0.21	0.24	0.01	0.940	0.980	(A) Immunomodulatory
AQP4-AS1	18q11.2	0.21	0.23	0.33	0.32	-0.02	0.940	0.980	(B) Mesenchymal
RBM26-AS1	13q31.1	0.42	0.39	0.65	0.61	0.02	0.940	0.980	(A) Immunomodulatory
CHST2	3q24	0.80	0.82	0.57	0.79	-0.03	0.940	0.980	(B) Mesenchymal
ID1	20q11.21	0.33	0.35	0.42	0.59	-0.02	0.940	0.980	(B) Mesenchymal
MRPL53	2p13.1	0.26	0.25	0.40	0.32	0.01	0.940	0.980	(A) Immunomodulatory
KHNYN	14q12	0.15	0.14	0.28	0.31	0.01	0.940	0.980	(A) Immunomodulatory
PNP	14q11.2	0.33	0.35	0.43	0.39	-0.02	0.940	0.980	(B) Mesenchymal
MUC12-AS1	7q22.1	0.51	0.48	0.48	0.72	0.03	0.941	0.980	(A) Immunomodulatory
ODAD4	17q21.2	0.14	0.13	0.16	0.27	0.01	0.941	0.980	(A) Immunomodulatory
KCNH8	3p24.3	0.34	0.36	0.64	0.68	-0.02	0.941	0.980	(B) Mesenchymal
UBAC1	9q34.3	0.22	0.23	0.32	0.32	-0.01	0.941	0.980	(B) Mesenchymal
LRRC46	17q21.32	0.25	0.27	0.49	0.36	-0.02	0.941	0.980	(B) Mesenchymal
MIF	22q11.23	0.40	0.39	0.43	0.49	0.02	0.941	0.980	(A) Immunomodulatory
CDCA4	14q32.33	0.40	0.38	0.55	0.41	0.02	0.941	0.980	(A) Immunomodulatory
NMNAT1	1p36.22	0.15	0.14	0.27	0.25	0.01	0.941	0.980	(A) Immunomodulatory
ABHD14A	3p21.2	0.34	0.32	0.45	0.41	0.02	0.941	0.980	(A) Immunomodulatory
MTHFD2L	4q13.3	0.21	0.20	0.24	0.43	0.01	0.941	0.980	(A) Immunomodulatory
FAM86B1	8p23.1	0.46	0.48	0.54	0.69	-0.02	0.941	0.980	(B) Mesenchymal
THAP9	4q21.22	0.27	0.26	0.29	0.33	0.01	0.941	0.980	(A) Immunomodulatory
NADSYN1	11q13.4	0.15	0.15	0.18	0.30	0.01	0.941	0.980	(A) Immunomodulatory
ARMCX1	Xq22.1	0.30	0.32	0.47	0.37	-0.02	0.941	0.980	(B) Mesenchymal
JAM3	11q25	0.19	0.18	0.27	0.23	0.01	0.942	0.980	(A) Immunomodulatory
WBP11	12p12.3	0.25	0.27	0.35	0.53	-0.02	0.942	0.980	(B) Mesenchymal
RPS6KA2	6q27	0.16	0.15	0.24	0.35	0.01	0.942	0.980	(A) Immunomodulatory
SERPINA10	14q32.13	0.49	0.46	0.28	0.72	0.03	0.942	0.980	(A) Immunomodulatory
CALR3	19p13.11	0.15	0.16	0.29	0.32	-0.02	0.942	0.980	(B) Mesenchymal
TARS1	5p13.3	0.27	0.28	0.27	0.40	-0.01	0.942	0.980	(B) Mesenchymal
SYCE1	10q26.3	0.79	0.82	0.67	0.91	-0.03	0.942	0.980	(B) Mesenchymal
TSSK3	1p35.1	0.26	0.24	0.34	0.39	0.01	0.942	0.980	(A) Immunomodulatory
STAMBP	2p13.1	0.22	0.21	0.23	0.26	0.01	0.942	0.980	(A) Immunomodulatory
TRMT2A	22q11.21	0.26	0.27	0.30	0.33	-0.01	0.942	0.980	(B) Mesenchymal
MAP3K14-AS1	17q21.31	0.24	0.22	0.18	0.48	0.01	0.942	0.980	(A) Immunomodulatory
DOCK8-AS1	9p24.3	0.13	0.12	0.24	0.23	0.01	0.942	0.980	(A) Immunomodulatory
APOB	2p24.1	0.28	0.30	0.40	0.78	-0.02	0.942	0.980	(B) Mesenchymal
HERC2P2	15q11.2	0.31	0.29	0.43	0.45	0.02	0.942	0.980	(A) Immunomodulatory
HCP5B	6p21.3	0.44	0.42	0.40	0.54	0.02	0.942	0.980	(A) Immunomodulatory
METTL21A	2q33.3	0.22	0.23	0.27	0.30	-0.01	0.942	0.980	(B) Mesenchymal
PRSS21	16p13.3	0.71	0.67	0.94	1.24	0.04	0.942	0.980	(A) Immunomodulatory
LSM10	1p34.3	0.25	0.23	0.26	0.42	0.01	0.942	0.980	(A) Immunomodulatory
NPM3	10q24.32	0.47	0.45	0.53	0.46	0.02	0.943	0.980	(A) Immunomodulatory
TYRO3P	15q24.2	0.29	0.31	0.34	0.29	-0.02	0.943	0.980	(B) Mesenchymal
FAM43B	1p36.12	0.53	0.51	0.70	0.68	0.02	0.943	0.981	(A) Immunomodulatory
SLC50A1	1q22	0.35	0.34	0.49	0.38	0.02	0.943	0.981	(A) Immunomodulatory
GYG1	3q24	0.27	0.26	0.31	0.32	0.01	0.943	0.981	(A) Immunomodulatory
SLC24A5	15q21.1	0.28	0.25	0.55	0.35	0.02	0.943	0.981	(A) Immunomodulatory
MN1	22q12.1	0.33	0.31	0.54	0.63	0.02	0.943	0.981	(A) Immunomodulatory
MS4A2	11q12.1	0.42	0.40	0.58	0.50	0.02	0.943	0.981	(A) Immunomodulatory
GTF2H2B	5q13.2	0.09	0.08	0.24	0.18	0.01	0.943	0.981	(A) Immunomodulatory
NOX4	11q14.3	0.30	0.31	0.42	0.49	-0.02	0.943	0.981	(B) Mesenchymal
CIDECP1	3p25.3	0.31	0.30	0.39	0.55	0.02	0.943	0.981	(A) Immunomodulatory
GCM1	6p12.1	0.33	0.31	0.53	0.55	0.02	0.943	0.981	(A) Immunomodulatory
TSHZ3	19q12	0.11	0.12	0.18	0.26	-0.01	0.943	0.981	(B) Mesenchymal
IGBP1P1	14q13.2	0.45	0.43	0.39	0.31	0.02	0.944	0.981	(A) Immunomodulatory
SLC68A1	10q24.32	0.24	0.23	0.31	0.48	0.01	0.944	0.981	(A) Immunomodulatory
AGO4	1p34.3	0.09	0.08	0.14	0.16	0.01	0.944	0.981	(A) Immunomodulatory
HMGA2	12q14.3	0.56	0.58	0.83	0.67	-0.03	0.944	0.981	(B) Mesenchymal
CPB2	13q14.13	0.25	0.27	0.38	0.51	-0.02	0.944	0.981	(B) Mesenchymal
GLT8D1	3p21.1	0.21	0.21	0.19	0.27	0.01	0.944	0.981	(A) Immunomodulatory
SNHG12	1p35.3	0.42	0.40	0.52	0.54	0.02	0.944	0.981	(A) Immunomodulatory
TASOR	3p14.3	0.13	0.12	0.21	0.19	0.01	0.944	0.981	(A) Immunomodulatory
COQ6	14q24.3	0.17	0.16	0.21	0.31	0.01	0.944	0.981	(A) Immunomodulatory
VRTN	14q24.3	1.04	1.10	1.02	1.31	-0.06	0.944	0.981	(B) Mesenchymal
LINC01001	11p15.5	0.20	0.22	0.40	0.34	-0.01	0.944	0.981	(B) Mesenchymal
KLHL36	16q24.1	0.12	0.13	0.23	0.29	-0.01	0.944	0.981	(B) Mesenchymal
BORA	13q21.33	0.31	0.33	0.42	0.46	-0.02	0.944	0.981	(B) Mesenchymal
EEF1AKMT1	13q12.11	0.27	0.26	0.26	0.38	0.01	0.944	0.981	(A) Immunomodulatory
ZNF217	20q13.2	0.17	0.18	0.28	0.22	-0.01	0.945	0.981	(B) Mesenchymal
RHEX	1q32.1	0.89	0.86	1.04	1.03	0.04	0.945	0.981	(A) Immunomodulatory
EDEM3	1q25.3	0.21	0.22	0.30	0.26	-0.01	0.945	0.981	(B) Mesenchymal
DRAIC	15q23	0.36	0.38	0.45	0.68	-0.02	0.945	0.981	(B) Mesenchymal
DICER1-AS1	14q32.13	0.22	0.21	0.35	0.31	0.01	0.945	0.981	(A) Immunomodulatory
DDX49	19p13.11	0.27	0.25	0.34	0.37	0.01	0.945	0.981	(A) Immunomodulatory
LRRC37A8P	17q12	0.27	0.28	0.31	0.47	-0.01	0.945	0.981	(B) Mesenchymal
GPR176	15q14-q15.1	0.17	0.16	0.30	0.32	0.01	0.945	0.981	(A) Immunomodulatory
HOXD-AS2	2q31.1	0.20	0.21	0.33	0.33	-0.01	0.945	0.981	(B) Mesenchymal
MAJIN	11q13.1	0.48	0.51	0.71	0.66	-0.02	0.945	0.981	(B) Mesenchymal
DYNC1I2	2q31.1	0.23	0.22	0.28	0.28	0.01	0.945	0.981	(A) Immunomodulatory
ACOT13	6p22.3	0.22	0.21	0.25	0.33	0.01	0.945	0.981	(A) Immunomodulatory
PIBF1	13q21.33-q22.1	0.24	0.25	0.28	0.38	-0.01	0.945	0.981	(B) Mesenchymal
DPP9-AS1	19p13.3	0.22	0.23	0.42	0.31	-0.01	0.945	0.981	(B) Mesenchymal
LINC02381	12q13.13	0.21	0.22	0.27	0.45	-0.01	0.945	0.981	(B) Mesenchymal
PPIC	5q23.2	0.20	0.19	0.28	0.25	0.01	0.945	0.981	(A) Immunomodulatory
AP3B1	5q14.1	0.12	0.13	0.14	0.37	-0.01	0.945	0.981	(B) Mesenchymal
CFAP69	7q21.13	0.24	0.25	0.31	0.46	-0.01	0.945	0.981	(B) Mesenchymal
PRELP	1q32.1	0.37	0.39	0.46	0.51	-0.02	0.946	0.981	(B) Mesenchymal
UNC45B	17q12	0.39	0.37	0.37	0.65	0.02	0.946	0.981	(A) Immunomodulatory
NAALADL2	3q26.31	0.24	0.23	0.35	0.37	0.01	0.946	0.981	(A) Immunomodulatory
NEU4	2q37.3	0.25	0.23	0.52	0.43	0.02	0.946	0.981	(A) Immunomodulatory
LINC01567	16p12.1	0.50	0.48	0.43	0.65	0.03	0.946	0.981	(A) Immunomodulatory
LINC02104	5p13.1	0.35	0.37	0.50	0.47	-0.02	0.946	0.981	(B) Mesenchymal
B3GALT2	1q31.2	0.30	0.29	0.41	0.28	0.01	0.946	0.982	(A) Immunomodulatory
CCNI	4q21.1	0.16	0.17	0.27	0.26	-0.01	0.946	0.982	(B) Mesenchymal
DNAJC14	12q13.2	0.19	0.20	0.31	0.40	-0.01	0.947	0.982	(B) Mesenchymal
C6ORF62	6p22.3	0.24	0.23	0.27	0.31	0.01	0.947	0.982	(A) Immunomodulatory
EPHA7	6q16.1	0.70	0.67	0.76	0.92	0.03	0.947	0.982	(A) Immunomodulatory
MCCD1	6p21.33	0.33	0.36	0.46	0.52	-0.03	0.947	0.982	(B) Mesenchymal
PLEKHM1	17q21.31	0.09	0.09	0.19	0.21	-0.01	0.947	0.982	(B) Mesenchymal
H3P6	2q31.1	0.42	0.40	0.51	0.59	0.02	0.947	0.982	(A) Immunomodulatory
MON1B	16q23.1	0.14	0.13	0.19	0.33	0.01	0.947	0.982	(A) Immunomodulatory
FAM200C	5q33.3	0.21	0.20	0.40	0.28	0.01	0.947	0.982	(A) Immunomodulatory
UPK1A	19q13.12	0.47	0.45	0.56	0.75	0.03	0.947	0.982	(A) Immunomodulatory
YRDC	1p34.3	0.26	0.25	0.31	0.39	0.01	0.947	0.982	(A) Immunomodulatory
CLDN24	4q35.1	0.49	0.45	0.70	0.45	0.04	0.947	0.982	(A) Immunomodulatory
ADAMTS6	5q12.3	0.25	0.27	0.41	0.35	-0.01	0.947	0.982	(B) Mesenchymal
TCF12	15q21.3	0.11	0.11	0.17	0.32	0.01	0.948	0.982	(A) Immunomodulatory
RBBP7	Xp22.2	0.52	0.51	0.45	0.49	0.02	0.948	0.982	(A) Immunomodulatory
SSTR1	14q21.1	0.35	0.37	0.49	0.66	-0.02	0.948	0.982	(B) Mesenchymal
CCT8	21q21.3	0.38	0.39	0.41	0.33	-0.01	0.948	0.982	(B) Mesenchymal
ZNF627	19p13.2	0.26	0.25	0.35	0.29	0.01	0.948	0.982	(A) Immunomodulatory
CLIP1-AS1	12q24.31	0.08	0.07	0.09	0.08	0.00	0.948	0.982	(A) Immunomodulatory
ANKRD18DP	3q29	0.45	0.43	0.50	0.61	0.02	0.948	0.982	(A) Immunomodulatory
HASPIN	17p13.2	0.38	0.37	0.35	0.48	0.01	0.948	0.982	(A) Immunomodulatory
TLL2	10q24.1	0.33	0.34	0.36	0.52	-0.01	0.948	0.982	(B) Mesenchymal
SOAT2	12q13.13	0.40	0.42	0.53	0.54	-0.02	0.948	0.982	(B) Mesenchymal
GTF3C6	6q21	0.42	0.43	0.37	0.50	-0.01	0.948	0.982	(B) Mesenchymal
NEK6	9q33.3	0.11	0.11	0.21	0.13	0.01	0.948	0.982	(A) Immunomodulatory
USP5	12p13.31	0.29	0.30	0.44	0.62	-0.02	0.948	0.982	(B) Mesenchymal
MAGEA8-AS1	Xq28	0.39	0.42	0.53	0.58	-0.03	0.948	0.982	(B) Mesenchymal
LINC01142	1q24.2	0.25	0.27	0.40	0.36	-0.01	0.948	0.982	(B) Mesenchymal
RANBP3	19p13.3	0.21	0.20	0.28	0.26	0.01	0.948	0.982	(A) Immunomodulatory
RABL2A	2q14.1	0.13	0.14	0.22	0.32	-0.01	0.948	0.982	(B) Mesenchymal
CIDEA	18p11.21	0.53	0.51	0.70	0.46	0.02	0.948	0.982	(A) Immunomodulatory
ENY2	8q23.1	0.41	0.40	0.47	0.39	0.01	0.949	0.982	(A) Immunomodulatory
CCDC137	17q25.3	0.44	0.46	0.38	0.59	-0.02	0.949	0.982	(B) Mesenchymal
COG8	16q22.1	0.13	0.14	0.17	0.31	-0.01	0.949	0.982	(B) Mesenchymal
FAM81B	5q15	0.54	0.50	0.47	0.87	0.04	0.949	0.982	(A) Immunomodulatory
SEPTIN7P9	10p11.1	0.35	0.38	0.49	0.46	-0.03	0.949	0.982	(B) Mesenchymal
MPV17	2p23.3	0.28	0.27	0.29	0.35	0.01	0.949	0.983	(A) Immunomodulatory
TMCC1-DT	3q22.1	0.18	0.17	0.37	0.34	0.01	0.949	0.983	(A) Immunomodulatory
EIF3D	22q12.3	0.22	0.22	0.23	0.35	0.01	0.949	0.983	(A) Immunomodulatory
UBXN7-AS1	3q29	0.28	0.29	0.38	0.41	-0.01	0.949	0.983	(B) Mesenchymal
MT1M	16q13	0.69	0.66	0.71	0.87	0.02	0.949	0.983	(A) Immunomodulatory
TSPYL2	Xp11.22	0.24	0.25	0.27	0.49	-0.01	0.949	0.983	(B) Mesenchymal
PAN2	12q13.3	0.22	0.24	0.31	0.35	-0.01	0.949	0.983	(B) Mesenchymal
XPO7	8p21.3	0.30	0.29	0.31	0.44	0.01	0.950	0.983	(A) Immunomodulatory
MANEAL	1p34.3	0.61	0.63	0.47	0.75	-0.02	0.950	0.983	(B) Mesenchymal
MOSPD1	Xq26.3	0.16	0.17	0.39	0.24	-0.01	0.950	0.983	(B) Mesenchymal
OSER1-DT	20q13.12	0.22	0.23	0.24	0.34	-0.01	0.950	0.983	(B) Mesenchymal
ING4	12p13.31	0.30	0.29	0.37	0.49	0.01	0.950	0.983	(A) Immunomodulatory
PHTF1	1p13.2	0.16	0.17	0.31	0.21	-0.01	0.950	0.983	(B) Mesenchymal
ADGRF4	6p12.3	0.55	0.52	0.62	0.74	0.03	0.950	0.983	(A) Immunomodulatory
CASQ1	1q23.2	0.58	0.60	0.57	0.57	-0.02	0.950	0.983	(B) Mesenchymal
CNGA1	4p12	0.46	0.44	0.72	0.63	0.02	0.950	0.983	(A) Immunomodulatory
CDC42	1p36.12	0.12	0.13	0.18	0.27	-0.01	0.950	0.983	(B) Mesenchymal
SDS	12q24.13	0.21	0.22	0.35	0.34	-0.01	0.950	0.983	(B) Mesenchymal
DNASE1	16p13.3	0.24	0.25	0.36	0.36	-0.01	0.951	0.983	(B) Mesenchymal
CACYBP	1q25.1	0.45	0.43	0.39	0.50	0.01	0.951	0.983	(A) Immunomodulatory
ZNF622	5p15.1	0.21	0.22	0.24	0.45	-0.01	0.951	0.983	(B) Mesenchymal
RAD51AP1	12p13.32	0.51	0.49	0.61	0.59	0.02	0.951	0.983	(A) Immunomodulatory
LIAT1	17p13.3	0.49	0.48	0.53	0.59	0.02	0.951	0.983	(A) Immunomodulatory
PAX8-AS1	2q14.1	0.61	0.59	0.65	0.89	0.02	0.951	0.983	(A) Immunomodulatory
PGR	11q22.1	0.71	0.68	0.59	0.99	0.02	0.951	0.983	(A) Immunomodulatory
BTBD2	19p13.3	0.09	0.10	0.18	0.17	-0.01	0.951	0.983	(B) Mesenchymal
ZNF846	19p13.2	0.19	0.20	0.28	0.35	-0.01	0.951	0.983	(B) Mesenchymal
L3MBTL4-AS1	18p11.31	0.49	0.51	0.65	0.65	-0.02	0.951	0.983	(B) Mesenchymal
TSSC4	11p15.5	0.17	0.17	0.20	0.29	-0.01	0.951	0.983	(B) Mesenchymal
VWF	12p13.31	0.45	0.43	0.54	0.60	0.02	0.951	0.983	(A) Immunomodulatory
PIGU	20q11.22	0.20	0.20	0.31	0.30	0.01	0.951	0.983	(A) Immunomodulatory
R3HDM2	12q13.3	0.17	0.18	0.15	0.36	-0.01	0.951	0.983	(B) Mesenchymal
VCF2	Xp11.21	0.45	0.44	0.51	0.34	0.01	0.952	0.984	(A) Immunomodulatory
GSDME	7p15.3	0.12	0.13	0.20	0.28	-0.01	0.952	0.984	(B) Mesenchymal
KSR2	12q24.22-q24.23	0.45	0.43	0.70	0.79	0.02	0.952	0.984	(A) Immunomodulatory
ARRDC3-AS1	5q14.3	0.34	0.33	0.35	0.55	0.01	0.952	0.984	(A) Immunomodulatory
POLR2L	11p15.5	0.38	0.39	0.42	0.49	-0.01	0.952	0.984	(B) Mesenchymal
MAPKAP1	9q33.3	0.19	0.18	0.34	0.23	0.01	0.952	0.984	(A) Immunomodulatory
CPAMD8	19p13.11	0.57	0.59	0.66	0.64	-0.02	0.952	0.984	(B) Mesenchymal
AMH	19p13.3	0.78	0.81	0.82	1.12	-0.03	0.952	0.984	(B) Mesenchymal
OSGEP	14q11.2	0.21	0.20	0.34	0.24	0.01	0.952	0.984	(A) Immunomodulatory
SERPINC1	1q25.1	0.29	0.28	0.41	0.48	0.02	0.952	0.984	(A) Immunomodulatory
S100A10	1q21.3	0.24	0.25	0.35	0.28	-0.01	0.952	0.984	(B) Mesenchymal
METTL9	16p12.2	0.27	0.29	0.40	0.50	-0.01	0.952	0.984	(B) Mesenchymal
ISOC1	5q23.3	0.25	0.24	0.36	0.30	0.01	0.952	0.984	(A) Immunomodulatory
ZNF385D	3p24.3	0.41	0.40	0.34	0.51	0.01	0.952	0.984	(A) Immunomodulatory
DNM2	19p13.2	0.15	0.14	0.27	0.33	0.01	0.952	0.984	(A) Immunomodulatory
TRIM3	11p15.4	0.17	0.18	0.41	0.30	-0.01	0.952	0.984	(B) Mesenchymal
KHK	2p23.3	0.37	0.38	0.40	0.44	-0.01	0.953	0.984	(B) Mesenchymal
CYP19A1	15q21.2	0.58	0.60	0.54	0.75	-0.02	0.953	0.984	(B) Mesenchymal
MRPL17	11p15.4	0.36	0.35	0.47	0.38	0.01	0.953	0.984	(A) Immunomodulatory
KLHDC4	16q24.2	0.35	0.36	0.44	0.54	-0.01	0.953	0.984	(B) Mesenchymal
WDR74	11q12.3	0.39	0.40	0.38	0.49	-0.01	0.953	0.984	(B) Mesenchymal
LCA5	6q14.1	0.30	0.29	0.29	0.37	0.01	0.953	0.984	(A) Immunomodulatory
TM6SF2	19p13.11	0.19	0.18	0.28	0.37	0.01	0.953	0.984	(A) Immunomodulatory
SLC8B1	12q24.13	0.19	0.19	0.30	0.29	0.01	0.953	0.984	(A) Immunomodulatory
ATP1A3	19q13.2	0.76	0.79	0.69	1.10	-0.03	0.953	0.984	(B) Mesenchymal
HPS6	10q24.32	0.24	0.23	0.29	0.35	0.01	0.953	0.984	(A) Immunomodulatory
HAVCR1	5q33.3	0.18	0.19	0.31	0.38	-0.01	0.953	0.984	(B) Mesenchymal
TIMM9	14q23.1	0.23	0.22	0.28	0.30	0.01	0.953	0.984	(A) Immunomodulatory
AQR	15q14	0.08	0.08	0.14	0.08	0.00	0.953	0.984	(A) Immunomodulatory
DLGAP5	14q22.3	0.43	0.44	0.39	0.40	-0.01	0.953	0.984	(B) Mesenchymal
EIF1AX	Xp22.12	0.50	0.51	0.46	0.51	-0.01	0.953	0.984	(B) Mesenchymal
BIRC2	11q22.2	0.23	0.24	0.35	0.29	-0.01	0.953	0.984	(B) Mesenchymal
STRA8	7q33	0.39	0.42	0.61	0.71	-0.02	0.954	0.984	(B) Mesenchymal
DCT	13q32.1	0.47	0.49	0.72	0.76	-0.02	0.954	0.984	(B) Mesenchymal
C15ORF40	15q25.2	0.21	0.22	0.32	0.24	-0.01	0.954	0.984	(B) Mesenchymal
DNAI3	1p22.3	0.23	0.22	0.38	0.39	0.01	0.954	0.984	(A) Immunomodulatory
ZNF407-AS1	18q22.3	0.30	0.29	0.27	0.48	0.01	0.954	0.984	(A) Immunomodulatory
PLPPR1	9q31.1	0.48	0.50	0.68	0.89	-0.03	0.954	0.984	(B) Mesenchymal
MPP7	10p12.1	0.31	0.30	0.49	0.39	0.01	0.954	0.984	(A) Immunomodulatory
MTUS1	8p22	0.21	0.20	0.28	0.36	0.01	0.954	0.984	(A) Immunomodulatory
BRWD3	Xq21.1	0.10	0.10	0.22	0.25	-0.01	0.954	0.984	(B) Mesenchymal
EYA3	1p35.3	0.10	0.10	0.17	0.18	-0.00	0.954	0.984	(B) Mesenchymal
PERP	6q23.3	0.46	0.48	0.57	0.58	-0.02	0.954	0.984	(B) Mesenchymal
RIPPLY1	Xq22.3	0.40	0.38	0.50	0.57	0.02	0.954	0.984	(A) Immunomodulatory
MUTYH	1p34.1	0.19	0.18	0.40	0.31	0.01	0.955	0.984	(A) Immunomodulatory
CYP4B1	1p33	0.39	0.38	0.55	0.58	0.02	0.955	0.985	(A) Immunomodulatory
CMC1	3p24.1	0.28	0.29	0.22	0.47	-0.01	0.955	0.985	(B) Mesenchymal
TRIM52	5q35.3	0.23	0.24	0.28	0.37	-0.01	0.955	0.985	(B) Mesenchymal
TRAM2-AS1	6p12.2	0.13	0.12	0.14	0.19	0.00	0.955	0.985	(A) Immunomodulatory
SVBP	1p34.2	0.28	0.29	0.37	0.43	-0.01	0.955	0.985	(B) Mesenchymal
MYCBPAP	17q21.33	0.15	0.16	0.36	0.36	-0.01	0.955	0.985	(B) Mesenchymal
LYRM2	6q15	0.32	0.33	0.36	0.53	-0.01	0.955	0.985	(B) Mesenchymal
SLC43A1	11q12.1	0.42	0.44	0.53	0.75	-0.02	0.955	0.985	(B) Mesenchymal
KRT33A	17q21.2	0.50	0.47	0.88	0.36	0.03	0.955	0.985	(A) Immunomodulatory
ADRB1	10q25.3	0.51	0.49	0.77	0.85	0.02	0.955	0.985	(A) Immunomodulatory
NMRAL1	16p13.3	0.22	0.23	0.25	0.40	-0.01	0.955	0.985	(B) Mesenchymal
MAST1	19p13.13	0.69	0.71	0.70	0.92	-0.02	0.955	0.985	(B) Mesenchymal
KCNJ8	12p12.1	0.40	0.41	0.34	0.50	-0.01	0.955	0.985	(B) Mesenchymal
MXD3	5q35.3	0.29	0.30	0.54	0.43	-0.01	0.956	0.985	(B) Mesenchymal
BMS1P4	10q22.2	0.32	0.34	0.42	0.57	-0.01	0.956	0.985	(B) Mesenchymal
ADGRL4	1p31.1	0.36	0.37	0.30	0.37	-0.01	0.956	0.985	(B) Mesenchymal
TMEM170B	6p24.2	0.27	0.26	0.45	0.44	0.01	0.956	0.985	(A) Immunomodulatory
LINC01016	6p21.31	0.55	0.58	0.81	0.79	-0.03	0.956	0.985	(B) Mesenchymal
C11ORF91	11p13	0.64	0.66	0.59	0.63	-0.02	0.956	0.985	(B) Mesenchymal
XKR8	1p35.3	0.13	0.14	0.16	0.30	-0.01	0.956	0.985	(B) Mesenchymal
GPR137	11q13.1	0.18	0.20	0.25	0.51	-0.01	0.956	0.985	(B) Mesenchymal
HEATR3	16q12.1	0.15	0.16	0.21	0.27	-0.01	0.956	0.985	(B) Mesenchymal
NPIPB15	16q23.1	0.45	0.44	0.64	0.64	0.02	0.956	0.985	(A) Immunomodulatory
