Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
HPCAL4	1p34.2	1.19	0.20	0.50	0.40	0.98	5.951e-4	0.0438	(A) Immunomodulatory
NIBAN3	19p13.11	1.41	0.03	0.67	0.05	1.38	5.980e-4	0.0438	(A) Immunomodulatory
KLHL6	3q27.1	1.03	0.02	0.49	0.07	1.01	6.036e-4	0.0439	(A) Immunomodulatory
ZNF682	19p12	0.08	0.71	0.16	0.36	-0.62	6.066e-4	0.0439	(B) Mesenchymal
CARD11	7p22.2	1.01	0.01	0.48	0.03	1.00	6.080e-4	0.0439	(A) Immunomodulatory
CUTALP	9q33.2	0.45	0.05	0.20	0.07	0.40	6.100e-4	0.0439	(A) Immunomodulatory
P2RX1	17p13.2	1.48	0.05	0.70	0.12	1.43	6.201e-4	0.0444	(A) Immunomodulatory
SCML4	6q21	1.21	0.05	0.58	0.16	1.16	6.214e-4	0.0444	(A) Immunomodulatory
RNASE6	14q11.2	0.90	0.02	0.43	0.06	0.88	6.328e-4	0.0448	(A) Immunomodulatory
ANKRD36BP2	2p11.2	1.40	0.23	0.61	0.41	1.18	6.336e-4	0.0448	(A) Immunomodulatory
JAK3	19p13.11	1.05	0.06	0.51	0.18	0.99	6.357e-4	0.0448	(A) Immunomodulatory
IL21R	16p12.1	1.13	0.07	0.54	0.20	1.05	6.437e-4	0.0452	(A) Immunomodulatory
CST7	20p11.21	1.15	0.01	0.55	0.03	1.14	6.523e-4	0.0456	(A) Immunomodulatory
TNFRSF9	1p36.23	1.18	0.02	0.57	0.05	1.15	6.731e-4	0.0466	(A) Immunomodulatory
TRAF3IP3	1q32.2	1.07	0.19	0.40	0.45	0.87	6.741e-4	0.0466	(A) Immunomodulatory
