Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
GDF1	19p13.11	2.33	2.05	2.00	1.45	0.28	0.335	0.425	(A) BRCA_Basal
ARG1	6q23.2	0.51	0.72	0.84	1.22	-0.21	0.335	0.425	(B) BRCA_Normal
CASC15	6p22.3	5.29	5.10	1.53	0.95	0.19	0.336	0.425	(A) BRCA_Basal
SORBS2	4q35.1	9.70	9.97	2.07	1.37	-0.27	0.336	0.426	(B) BRCA_Normal
MATR3	5q31.2	12.54	12.61	0.38	0.39	-0.07	0.336	0.426	(B) BRCA_Normal
CDK12	17q12	10.36	10.23	0.79	0.69	0.13	0.336	0.426	(A) BRCA_Basal
LAIR2	19q13.42	1.92	2.24	1.46	1.82	-0.31	0.336	0.426	(B) BRCA_Normal
CIBAR2	16q24.1	1.71	1.45	1.51	1.40	0.25	0.336	0.426	(A) BRCA_Basal
SLC22A25	11q12.3	0.11	0.17	0.27	0.36	-0.06	0.336	0.426	(B) BRCA_Normal
PANK2	20p13	8.92	8.99	0.53	0.31	-0.06	0.336	0.426	(B) BRCA_Normal
DUSP23	1q23.2	9.51	9.68	0.99	0.94	-0.17	0.336	0.426	(B) BRCA_Normal
PNKD	2q35	10.26	10.14	0.69	0.70	0.12	0.337	0.426	(A) BRCA_Basal
ATP6V1G3	1q31.3	0.11	0.18	0.34	0.40	-0.07	0.337	0.426	(B) BRCA_Normal
ZXDC	3q21.3	10.04	9.98	0.42	0.38	0.07	0.337	0.426	(A) BRCA_Basal
TMEM278	1p36.33	0.20	0.30	0.54	0.56	-0.10	0.337	0.427	(B) BRCA_Normal
MTOR	1p36.22	10.63	10.55	0.60	0.39	0.08	0.337	0.427	(A) BRCA_Basal
TMED6	16q22.1	2.08	2.20	0.64	0.70	-0.12	0.337	0.427	(B) BRCA_Normal
OSBPL1A	18q11.2	10.38	10.26	0.80	0.64	0.12	0.338	0.427	(A) BRCA_Basal
EHD1	11q13.1	10.83	10.72	0.61	0.60	0.11	0.338	0.428	(A) BRCA_Basal
CHID1	11p15.5	10.35	10.44	0.68	0.47	-0.09	0.338	0.428	(B) BRCA_Normal
AOC1	7q36.1	4.40	4.04	1.83	2.09	0.36	0.338	0.428	(A) BRCA_Basal
RUSF1	16p11.2	10.85	10.93	0.58	0.41	-0.08	0.338	0.428	(B) BRCA_Normal
SNORA75	2q37.1	0.04	0.02	0.15	0.10	0.02	0.338	0.428	(A) BRCA_Basal
KRTAP4-11	17q21.2	0.06	0.03	0.21	0.17	0.03	0.338	0.428	(A) BRCA_Basal
LINC02897	1q44	3.24	3.41	1.39	0.84	-0.17	0.339	0.429	(B) BRCA_Normal
LINC00705	10p15.1	0.07	0.04	0.20	0.16	0.03	0.339	0.429	(A) BRCA_Basal
EPB41	1p35.3	10.25	10.14	0.74	0.53	0.10	0.339	0.429	(A) BRCA_Basal
SLC2A5	1p36.23	6.98	6.68	1.36	1.77	0.30	0.339	0.429	(A) BRCA_Basal
NPEPPS	17q21.32	10.69	10.76	0.48	0.37	-0.07	0.339	0.429	(B) BRCA_Normal
STX7	6q23.2	10.15	10.23	0.50	0.45	-0.08	0.339	0.429	(B) BRCA_Normal
APOA1	11q23.3	1.38	1.57	1.12	1.08	-0.19	0.339	0.429	(B) BRCA_Normal
DIRAS2	9q22.2	3.13	3.42	2.11	1.55	-0.29	0.339	0.429	(B) BRCA_Normal
HAVCR2	5q33.3	8.48	8.68	1.11	1.13	-0.20	0.339	0.429	(B) BRCA_Normal
HPYR1	8q24.22	0.10	0.15	0.26	0.28	-0.05	0.339	0.429	(B) BRCA_Normal
GPR151	5q32	0.15	0.10	0.55	0.24	0.06	0.339	0.429	(A) BRCA_Basal
SLC28A3	9q21.32-q21.33	5.14	5.56	2.18	2.38	-0.42	0.340	0.429	(B) BRCA_Normal
PARP9	3q21.1	10.83	10.69	1.08	0.73	0.14	0.340	0.429	(A) BRCA_Basal
CDC42BPA	1q42.13	10.61	10.48	0.70	0.74	0.13	0.340	0.429	(A) BRCA_Basal
EQTN	9p21.2	0.62	0.52	0.67	0.52	0.10	0.340	0.429	(A) BRCA_Basal
NPIPB5	16p12.2	7.06	7.22	0.98	0.88	-0.16	0.340	0.429	(B) BRCA_Normal
ZNF274	19q13.43	8.78	8.69	0.51	0.49	0.09	0.340	0.430	(A) BRCA_Basal
TYR	11q14.3	0.18	0.43	0.50	1.57	-0.26	0.340	0.430	(B) BRCA_Normal
CCDC198	14q22.3	0.14	0.08	0.58	0.28	0.06	0.340	0.430	(A) BRCA_Basal
EIF2D	1q32.1	10.26	10.18	0.69	0.38	0.08	0.340	0.430	(A) BRCA_Basal
CYP39A1	6p12.3	6.94	6.63	1.54	1.74	0.30	0.340	0.430	(A) BRCA_Basal
EFCAB7	1p31.3	6.95	6.85	0.65	0.52	0.10	0.340	0.430	(A) BRCA_Basal
PRKD2	19q13.32	10.21	10.30	0.60	0.45	-0.08	0.340	0.430	(B) BRCA_Normal
GTF2H3	12q24.31	7.74	7.61	0.84	0.75	0.14	0.340	0.430	(A) BRCA_Basal
ZNF511	10q26.3	8.58	8.48	0.72	0.56	0.10	0.340	0.430	(A) BRCA_Basal
ZNF418	19q13.43	6.39	6.56	1.23	0.89	-0.17	0.341	0.430	(B) BRCA_Normal
EFR3B	2p23.3	6.37	6.58	2.15	0.88	-0.21	0.341	0.430	(B) BRCA_Normal
CNOT6	5q35.3	10.14	10.04	0.64	0.54	0.10	0.341	0.431	(A) BRCA_Basal
USP7	16p13.2	11.62	11.56	0.50	0.29	0.06	0.341	0.431	(A) BRCA_Basal
URB1-AS1	21q22.11	6.52	6.40	0.81	0.68	0.12	0.341	0.431	(A) BRCA_Basal
TNNI1	1q32.1	4.76	4.95	1.35	1.07	-0.20	0.341	0.431	(B) BRCA_Normal
SRGN	10q22.1	0.06	0.04	0.19	0.12	0.02	0.341	0.431	(A) BRCA_Basal
AGER	6p21.32	5.22	5.41	1.11	1.05	-0.19	0.342	0.431	(B) BRCA_Normal
GPC5	13q31.3	1.57	1.38	1.57	0.90	0.18	0.342	0.431	(A) BRCA_Basal
SYCP3	12q23.2	0.21	0.29	0.40	0.42	-0.07	0.342	0.431	(B) BRCA_Normal
OXCT2	1p34.2	2.52	2.69	1.21	0.88	-0.17	0.342	0.431	(B) BRCA_Normal
AMOT	Xq23	9.66	9.45	1.14	1.19	0.21	0.342	0.432	(A) BRCA_Basal
RPS26P11	Xq13.1	0.86	0.98	0.66	0.74	-0.13	0.342	0.432	(B) BRCA_Normal
UQCRBP1	Xp11.21	7.42	7.31	0.73	0.64	0.12	0.342	0.432	(A) BRCA_Basal
GRINA	8q24.3	12.44	12.34	0.73	0.56	0.10	0.342	0.432	(A) BRCA_Basal
CTAGE6	7q35	2.74	2.91	1.07	0.95	-0.17	0.343	0.432	(B) BRCA_Normal
PSEN2	1q42.13	9.04	8.94	0.73	0.51	0.10	0.343	0.433	(A) BRCA_Basal
NKX6-3	8p11.21	0.14	0.30	0.45	0.96	-0.16	0.343	0.433	(B) BRCA_Normal
TMEM191A	22q11.21	4.21	4.38	1.11	0.98	-0.18	0.343	0.433	(B) BRCA_Normal
PRKAG2	7q36.1	9.20	9.11	0.79	0.45	0.09	0.344	0.433	(A) BRCA_Basal
METTL25B	1q23.1	9.03	8.94	0.66	0.47	0.09	0.344	0.434	(A) BRCA_Basal
MCOLN3	1p22.3	5.94	5.71	1.82	1.20	0.23	0.344	0.434	(A) BRCA_Basal
NFATC3	16q22.1	9.64	9.55	0.60	0.49	0.09	0.344	0.434	(A) BRCA_Basal
PODXL	7q32.3	11.67	11.53	0.98	0.75	0.14	0.345	0.435	(A) BRCA_Basal
DAD1P1	12p12.1	0.18	0.13	0.38	0.30	0.06	0.345	0.435	(A) BRCA_Basal
ITGB7	12q13.13	7.72	7.49	1.44	1.35	0.24	0.345	0.435	(A) BRCA_Basal
GTF2A1	14q31.1	7.02	7.24	1.34	1.23	-0.22	0.345	0.435	(B) BRCA_Normal
DDX41	5q35.3	10.36	10.27	0.59	0.48	0.09	0.345	0.435	(A) BRCA_Basal
SNORD115-26	15q11.2	0.02	0.04	0.08	0.13	-0.02	0.345	0.436	(B) BRCA_Normal
FGF9	13q12.11	3.29	3.00	2.15	1.54	0.29	0.345	0.436	(A) BRCA_Basal
GSTA5	6p12.2	0.60	0.48	0.91	0.68	0.13	0.345	0.436	(A) BRCA_Basal
OCLM	1q31.1	1.84	1.70	0.89	0.80	0.14	0.346	0.436	(A) BRCA_Basal
SEMA6C	1q21.3	7.60	7.74	1.29	0.71	-0.15	0.346	0.436	(B) BRCA_Normal
METTL27	7q11.23	4.69	4.96	1.60	1.51	-0.27	0.346	0.436	(B) BRCA_Normal
FGF17	8p21.3	1.34	1.53	1.06	1.08	-0.19	0.346	0.436	(B) BRCA_Normal
FAM157A	3q29	3.76	3.52	1.36	1.37	0.24	0.346	0.436	(A) BRCA_Basal
CER1	9p22.3	0.27	0.35	0.61	0.46	-0.08	0.346	0.436	(B) BRCA_Normal
SBK2	19q13.42	0.13	0.23	0.47	0.63	-0.11	0.346	0.436	(B) BRCA_Normal
LGALS7B	19q13.2	3.20	3.73	3.17	3.03	-0.53	0.347	0.437	(B) BRCA_Normal
RPUSD2	15q15.1	7.57	7.65	0.60	0.43	-0.08	0.347	0.437	(B) BRCA_Normal
RPL27	17q21.31	13.04	13.14	0.80	0.55	-0.10	0.348	0.438	(B) BRCA_Normal
NDUFB8	10q24.31	10.14	10.25	0.69	0.64	-0.11	0.348	0.438	(B) BRCA_Normal
FAM9C	Xp22.2	0.55	0.85	1.31	1.79	-0.30	0.348	0.438	(B) BRCA_Normal
RPS6KA6	Xq21.1	4.18	4.46	2.00	1.59	-0.29	0.348	0.438	(B) BRCA_Normal
BCL9L	11q23.3	11.06	11.15	0.66	0.51	-0.09	0.348	0.439	(B) BRCA_Normal
ANKRD54	22q13.1	8.93	8.83	0.62	0.55	0.10	0.348	0.439	(A) BRCA_Basal
MAPKAPK3	3p21.2	9.76	9.84	0.61	0.46	-0.08	0.349	0.439	(B) BRCA_Normal
NT5DC3	12q23.3	8.65	8.52	0.92	0.71	0.13	0.349	0.439	(A) BRCA_Basal
DDX19B	16q22.1	9.56	9.50	0.53	0.28	0.06	0.349	0.439	(A) BRCA_Basal
CLVS2	6q22.31	0.26	0.39	0.71	0.76	-0.13	0.349	0.439	(B) BRCA_Normal
MYL10	7q22.1	0.04	0.07	0.19	0.18	-0.03	0.349	0.440	(B) BRCA_Normal
WNT16	7q31.31	1.44	1.66	1.04	1.35	-0.23	0.349	0.440	(B) BRCA_Normal
NUDCD2	5q34	8.62	8.55	0.59	0.40	0.08	0.349	0.440	(A) BRCA_Basal
STAR	8p11.23	3.33	3.57	1.75	1.28	-0.24	0.350	0.440	(B) BRCA_Normal
PAM	5q21.1	11.70	11.55	0.92	0.83	0.15	0.350	0.440	(A) BRCA_Basal
DNAH11	7p15.3	4.19	3.83	2.30	2.02	0.36	0.350	0.440	(A) BRCA_Basal
LINC01126	2p21	2.57	2.68	0.85	0.62	-0.12	0.350	0.440	(B) BRCA_Normal
ANKH	5p15.2	11.08	11.23	1.10	0.82	-0.15	0.350	0.440	(B) BRCA_Normal
CACNG8	19q13.42	0.12	0.20	0.36	0.47	-0.08	0.350	0.441	(B) BRCA_Normal
HAGH	16p13.3	8.81	8.94	0.74	0.76	-0.13	0.350	0.441	(B) BRCA_Normal
CP	3q24-q25.1	10.06	9.63	3.17	2.37	0.44	0.350	0.441	(A) BRCA_Basal
RABGAP1	9q33.2-q33.3	10.47	10.55	0.55	0.39	-0.07	0.350	0.441	(B) BRCA_Normal
INF2	14q32.33	10.88	10.78	0.71	0.60	0.11	0.351	0.441	(A) BRCA_Basal
BSPRY	9q32	9.38	9.60	1.59	1.19	-0.22	0.351	0.441	(B) BRCA_Normal
SNHG11	20q11.23	7.14	7.26	0.68	0.67	-0.12	0.351	0.441	(B) BRCA_Normal
KRTAP3-1	17q21.2	0.42	0.58	1.05	0.87	-0.16	0.351	0.441	(B) BRCA_Normal
TVP23B	17p11.2	9.31	9.21	0.69	0.50	0.09	0.351	0.442	(A) BRCA_Basal
WASF3	13q12.13	7.85	8.01	1.29	0.83	-0.16	0.351	0.442	(B) BRCA_Normal
PPP1R18	6p21.33	11.02	10.90	0.75	0.71	0.12	0.351	0.442	(A) BRCA_Basal
NECAB2	16q23.3	2.56	2.84	1.82	1.62	-0.29	0.351	0.442	(B) BRCA_Normal
B3GNT2	2p15	9.85	9.93	0.55	0.47	-0.08	0.351	0.442	(B) BRCA_Normal
WHRN	9q32	8.17	8.31	1.00	0.77	-0.14	0.351	0.442	(B) BRCA_Normal
GNB2	7q22.1	12.17	12.07	0.61	0.60	0.10	0.351	0.442	(A) BRCA_Basal
SYCE2	19p13.13	3.57	3.37	1.13	1.15	0.20	0.351	0.442	(A) BRCA_Basal
GOLGA6D	15q24.2	0.03	0.01	0.13	0.07	0.01	0.352	0.442	(A) BRCA_Basal
MAMLD1	Xq28	7.68	7.51	1.49	0.85	0.17	0.352	0.443	(A) BRCA_Basal
KRT18P55	17q11.2	0.21	0.29	0.34	0.45	-0.07	0.352	0.443	(B) BRCA_Normal
NIPBL	5p13.2	10.78	10.89	0.70	0.64	-0.11	0.352	0.443	(B) BRCA_Normal
MYO7A	11q13.5	6.93	6.73	1.34	1.10	0.20	0.352	0.443	(A) BRCA_Basal
MANCR	10p15.1	1.67	1.42	1.54	1.42	0.25	0.353	0.443	(A) BRCA_Basal
DUOXA1	15q21.1	4.90	4.56	2.36	1.86	0.34	0.353	0.443	(A) BRCA_Basal
KBTBD11	8p23.3	6.29	6.47	1.72	0.87	-0.18	0.353	0.443	(B) BRCA_Normal
MRPL28	16p13.3	9.87	9.74	0.80	0.71	0.12	0.353	0.444	(A) BRCA_Basal
CPS1-IT1	2q34	0.02	0.08	0.13	0.35	-0.06	0.353	0.444	(B) BRCA_Normal
ZPBP	7p12.2	0.14	0.19	0.32	0.34	-0.06	0.354	0.444	(B) BRCA_Normal
SNORA55	1p34.3	0.04	0.09	0.17	0.34	-0.05	0.354	0.445	(B) BRCA_Normal
SLC13A1	7q31.32	0.06	0.15	0.21	0.55	-0.09	0.354	0.445	(B) BRCA_Normal
CDRT4	17p12	7.73	7.84	0.74	0.62	-0.11	0.354	0.445	(B) BRCA_Normal
USP54	10q22.2	9.76	9.90	0.91	0.77	-0.14	0.354	0.445	(B) BRCA_Normal
SHOX2	3q25.32	6.29	6.52	1.12	1.34	-0.22	0.354	0.445	(B) BRCA_Normal
BEND4	4p13	2.24	1.98	1.71	1.46	0.26	0.354	0.445	(A) BRCA_Basal
WBP2	17q25.1	11.51	11.42	0.68	0.52	0.09	0.354	0.445	(A) BRCA_Basal
EPHB4	7q22.1	11.50	11.38	0.68	0.69	0.12	0.354	0.445	(A) BRCA_Basal
OR1N2	9q33.2	0.03	0.01	0.13	0.07	0.01	0.355	0.445	(A) BRCA_Basal
WDR59	16q23.1	9.36	9.30	0.51	0.37	0.07	0.355	0.445	(A) BRCA_Basal
NUCB1	19q13.33	12.49	12.57	0.58	0.43	-0.08	0.355	0.445	(B) BRCA_Normal
TENT5D	Xq21.1	0.95	0.75	1.20	1.19	0.20	0.355	0.445	(A) BRCA_Basal
LHFPL4	3p25.3	1.14	1.31	1.77	0.74	-0.17	0.355	0.445	(B) BRCA_Normal
COA1	7p13	9.30	9.23	0.47	0.36	0.07	0.355	0.445	(A) BRCA_Basal
B3GNT6	11q13.5	0.16	0.27	0.46	0.69	-0.11	0.355	0.446	(B) BRCA_Normal
CYTH1	17q25.3	10.19	10.09	0.59	0.57	0.10	0.355	0.446	(A) BRCA_Basal
LINC02347	12q24.32	0.08	0.12	0.31	0.27	-0.05	0.355	0.446	(B) BRCA_Normal
TMT1B	12q13.2	4.72	4.48	1.86	1.32	0.24	0.355	0.446	(A) BRCA_Basal
UBAP1	9p13.3	10.49	10.54	0.50	0.29	-0.06	0.355	0.446	(B) BRCA_Normal
PPBPP2	4q13.3	0.03	0.01	0.14	0.09	0.02	0.356	0.446	(A) BRCA_Basal
SOCS5	2p21	9.67	9.80	0.65	0.76	-0.13	0.356	0.446	(B) BRCA_Normal
GDNF	5p13.2	0.51	0.41	0.82	0.53	0.10	0.356	0.446	(A) BRCA_Basal
DHDDS	1p36.11	9.57	9.62	0.47	0.29	-0.06	0.356	0.447	(B) BRCA_Normal
TMEM176A	7q36.1	9.35	9.54	1.33	1.07	-0.19	0.356	0.447	(B) BRCA_Normal
ZNF233	19q13.31	5.07	4.91	1.16	0.89	0.16	0.357	0.448	(A) BRCA_Basal
UGT2A1	4q13.3	0.18	0.28	0.57	0.62	-0.10	0.357	0.448	(B) BRCA_Normal
LINC01555	1p22.3	0.46	0.57	0.66	0.64	-0.11	0.357	0.448	(B) BRCA_Normal
KCNG4	16q24.1	0.09	0.05	0.46	0.21	0.05	0.357	0.448	(A) BRCA_Basal
SPMIP7	7p12.2	0.13	0.08	0.40	0.22	0.04	0.357	0.448	(A) BRCA_Basal
DDX11L2	2q14.1	3.62	3.37	1.64	1.46	0.25	0.357	0.448	(A) BRCA_Basal
IHH	2q35	0.50	0.63	0.67	0.81	-0.13	0.358	0.449	(B) BRCA_Normal
FAM178B	2q11.2	4.16	3.82	2.15	1.99	0.34	0.358	0.449	(A) BRCA_Basal
GBX1	7q36.1	0.22	0.12	0.50	0.57	0.10	0.358	0.449	(A) BRCA_Basal
LINC01553	10q21.2	0.04	0.12	0.15	0.55	-0.09	0.358	0.450	(B) BRCA_Normal
PSMD3	17q21.1	11.50	11.35	0.63	0.92	0.15	0.359	0.450	(A) BRCA_Basal
HIPK2	7q34	10.61	10.76	0.92	0.82	-0.14	0.359	0.450	(B) BRCA_Normal
PCDHAC1	5q31.3	3.43	3.19	1.54	1.37	0.24	0.359	0.450	(A) BRCA_Basal
KIF21B	1q32.1	7.51	7.69	1.09	1.05	-0.18	0.359	0.450	(B) BRCA_Normal
IGFL3	19q13.32	1.30	1.04	1.79	1.43	0.25	0.359	0.451	(A) BRCA_Basal
SNORA71A	20q11.23	0.10	0.21	0.26	0.73	-0.11	0.359	0.451	(B) BRCA_Normal
PTPDC1	9q22.32	7.35	7.43	0.63	0.47	-0.08	0.360	0.451	(B) BRCA_Normal
IFT52	20q13.12	9.36	9.42	0.55	0.37	-0.07	0.360	0.451	(B) BRCA_Normal
KRT26	17q21.2	0.00	0.03	0.03	0.16	-0.03	0.360	0.451	(B) BRCA_Normal
AQP4-AS1	18q11.2	1.07	1.26	1.12	1.12	-0.19	0.360	0.451	(B) BRCA_Normal
LCE2B	1q21.3	0.02	0.32	0.24	1.94	-0.30	0.360	0.451	(B) BRCA_Normal
GPR18	13q32.3	4.08	4.33	1.63	1.49	-0.26	0.360	0.451	(B) BRCA_Normal
HNRNPA1L2	13q14.3	11.21	11.30	0.53	0.46	-0.08	0.360	0.451	(B) BRCA_Normal
XKR8	1p35.3	7.71	7.79	0.53	0.45	-0.08	0.360	0.451	(B) BRCA_Normal
CCR1	3p21.31	8.36	8.14	1.29	1.31	0.22	0.360	0.451	(A) BRCA_Basal
EHF	11p13	10.29	10.57	2.37	1.51	-0.29	0.360	0.451	(B) BRCA_Normal
WNT2	7q31.2	7.17	7.45	1.52	1.66	-0.28	0.361	0.452	(B) BRCA_Normal
TNFRSF11A	18q21.33	6.86	6.66	1.38	1.12	0.20	0.361	0.452	(A) BRCA_Basal
APCDD1L	20q13.32	6.43	6.77	2.31	1.97	-0.34	0.361	0.452	(B) BRCA_Normal
GAB4	22q11.1	0.30	0.41	0.53	0.68	-0.11	0.361	0.452	(B) BRCA_Normal
TYW3	1p31.1	8.88	8.96	0.53	0.45	-0.08	0.361	0.452	(B) BRCA_Normal
FGF7P3	9p12	6.02	6.18	0.93	0.93	-0.16	0.361	0.452	(B) BRCA_Normal
PIN4P1	15q15.3	5.45	5.36	0.62	0.55	0.10	0.361	0.452	(A) BRCA_Basal
RPTN	1q21.3	0.49	0.32	1.27	0.90	0.16	0.361	0.452	(A) BRCA_Basal
RBFA	18q23	8.50	8.59	0.71	0.50	-0.09	0.361	0.452	(B) BRCA_Normal
NUAK2	1q32.1	7.25	7.07	1.16	1.03	0.18	0.361	0.452	(A) BRCA_Basal
RNF151	16p13.3	0.26	0.34	0.41	0.46	-0.08	0.361	0.452	(B) BRCA_Normal
LEFTY2	1q42.12	3.60	3.95	2.84	1.89	-0.35	0.361	0.452	(B) BRCA_Normal
BLTP2	17q11.2	11.89	11.98	0.59	0.52	-0.09	0.361	0.452	(B) BRCA_Normal
OSGEP	14q11.2	8.58	8.66	0.57	0.45	-0.08	0.361	0.452	(B) BRCA_Normal
NAPRT	8q24.3	9.17	8.98	1.52	1.08	0.20	0.361	0.452	(A) BRCA_Basal
MDS2	1p36	0.81	0.96	0.78	0.91	-0.15	0.361	0.452	(B) BRCA_Normal
ZBTB11-AS1	3q12.3	6.43	6.34	0.60	0.51	0.09	0.362	0.452	(A) BRCA_Basal
CCDC186	10q25.3	8.77	8.95	1.04	1.09	-0.18	0.362	0.452	(B) BRCA_Normal
MCEE	2p13.3	7.14	7.23	0.62	0.49	-0.09	0.362	0.452	(B) BRCA_Normal
TSSK6	19p13.11	4.30	4.17	0.93	0.78	0.14	0.362	0.452	(A) BRCA_Basal
H2AP	Xp11.4	0.03	0.09	0.17	0.35	-0.06	0.362	0.452	(B) BRCA_Normal
FGFR4	5q35.2	7.00	7.38	1.45	2.36	-0.38	0.362	0.453	(B) BRCA_Normal
AP1B1	22q12.2	11.62	11.71	0.54	0.47	-0.08	0.362	0.453	(B) BRCA_Normal
GGCT	7p14.3	10.98	10.84	0.78	0.88	0.14	0.362	0.453	(A) BRCA_Basal
LINC00879	3q11.2	0.04	0.02	0.24	0.12	0.02	0.362	0.453	(A) BRCA_Basal
GRIPAP1	Xp11.23	9.64	9.72	0.57	0.44	-0.08	0.362	0.453	(B) BRCA_Normal
SPATS1	6p21.1	0.50	0.66	0.71	1.02	-0.16	0.362	0.453	(B) BRCA_Normal
MAL	2q11.1	4.50	4.80	1.96	1.77	-0.30	0.362	0.453	(B) BRCA_Normal
APBA1	9q21.12	7.60	7.78	1.54	0.91	-0.18	0.363	0.453	(B) BRCA_Normal
PKHD1L1	8q23.1-q23.2	2.57	2.85	1.66	1.62	-0.27	0.363	0.453	(B) BRCA_Normal
RNF145	5q33.3	10.51	10.64	0.84	0.75	-0.13	0.363	0.454	(B) BRCA_Normal
TMEM107	17p13.1	7.51	7.42	0.63	0.52	0.09	0.363	0.454	(A) BRCA_Basal
SNORA71E	20q11.23	2.40	2.27	0.83	0.79	0.13	0.363	0.454	(A) BRCA_Basal
NFKBID	19q13.12	5.31	5.14	1.02	1.02	0.17	0.363	0.454	(A) BRCA_Basal
SULF1	8q13.2-q13.3	11.66	11.89	1.39	1.34	-0.23	0.364	0.454	(B) BRCA_Normal
URAHP	16q24.3	4.08	4.22	0.96	0.85	-0.15	0.364	0.454	(B) BRCA_Normal
C1QL3	10p13	3.52	3.73	1.52	1.19	-0.21	0.364	0.455	(B) BRCA_Normal
PPIAL4A	1p11.2	0.01	0.07	0.05	0.39	-0.06	0.364	0.455	(B) BRCA_Normal
COLEC10	8q24.12	1.42	1.27	1.04	0.87	0.15	0.364	0.455	(A) BRCA_Basal
S100A3	1q21.3	4.38	4.16	1.34	1.28	0.22	0.364	0.455	(A) BRCA_Basal
PHACTR2	6q24.2	9.26	9.40	0.87	0.82	-0.14	0.364	0.455	(B) BRCA_Normal
SLC27A4	9q34.11	9.56	9.66	0.63	0.60	-0.10	0.364	0.455	(B) BRCA_Normal
HMGA2	12q14.3	3.15	2.83	2.34	1.84	0.32	0.364	0.455	(A) BRCA_Basal
SSMEM1	7q32.2	0.34	0.27	0.44	0.41	0.07	0.365	0.455	(A) BRCA_Basal
ACO2	22q13.2	11.37	11.29	0.59	0.46	0.08	0.365	0.455	(A) BRCA_Basal
LINC00235	16p13.3	1.10	1.23	0.89	0.73	-0.13	0.365	0.455	(B) BRCA_Normal
C22ORF23	22q13.1	6.09	5.94	0.88	0.93	0.15	0.365	0.456	(A) BRCA_Basal
ZSCAN20	1p35.1	6.17	6.06	0.85	0.58	0.11	0.365	0.456	(A) BRCA_Basal
ATG13	11p11.2	10.88	10.82	0.44	0.33	0.06	0.365	0.456	(A) BRCA_Basal
TAB2	6q25.1	11.11	11.01	0.62	0.59	0.10	0.365	0.456	(A) BRCA_Basal
TRAM2	6p12.2	10.25	10.38	0.77	0.76	-0.13	0.365	0.456	(B) BRCA_Normal
ZNF630	Xp11.23	6.11	5.99	1.23	0.62	0.13	0.365	0.456	(A) BRCA_Basal
FHL1P1	3q26.2	1.13	1.26	0.78	0.77	-0.13	0.366	0.457	(B) BRCA_Normal
LOXL4	10q24.2	7.57	7.85	2.22	1.56	-0.28	0.366	0.457	(B) BRCA_Normal
POMGNT1	1p34.1	10.44	10.50	0.53	0.36	-0.07	0.366	0.457	(B) BRCA_Normal
RTBDN	19p13.13	1.71	1.41	1.59	1.83	0.30	0.366	0.457	(A) BRCA_Basal
ZNF227	19q13.31	8.18	8.26	0.69	0.35	-0.07	0.366	0.457	(B) BRCA_Normal
PDCD1LG2	9p24.1	6.70	6.50	1.33	1.16	0.20	0.366	0.457	(A) BRCA_Basal
THYN1	11q25	9.03	9.10	0.68	0.42	-0.08	0.366	0.457	(B) BRCA_Normal
C10ORF120	10q26.13	0.03	0.02	0.15	0.10	0.02	0.366	0.457	(A) BRCA_Basal
RPS6KA1	1p36.11	10.35	10.44	0.65	0.52	-0.09	0.366	0.457	(B) BRCA_Normal
TMX3	18q22.1	9.96	10.05	0.62	0.51	-0.09	0.367	0.457	(B) BRCA_Normal
PEG3-AS1	19q13.43	0.73	0.96	1.35	1.37	-0.23	0.367	0.457	(B) BRCA_Normal
ENTREP2	15q13.1	2.97	3.26	2.07	1.62	-0.28	0.367	0.457	(B) BRCA_Normal
PAK4	19q13.2	10.75	10.63	0.77	0.77	0.13	0.367	0.458	(A) BRCA_Basal
MYO1H	12q24.11	3.16	2.90	1.81	1.49	0.26	0.367	0.458	(A) BRCA_Basal
NGEF	2q37.1	6.74	6.51	1.84	1.27	0.23	0.367	0.458	(A) BRCA_Basal
NFAM1	22q13.2	7.76	7.99	1.18	1.39	-0.23	0.368	0.458	(B) BRCA_Normal
ZFP91	11q12.1	11.05	10.97	0.61	0.44	0.08	0.368	0.458	(A) BRCA_Basal
ATP13A2	1p36.13	10.26	10.35	0.68	0.53	-0.09	0.368	0.458	(B) BRCA_Normal
UGT2B4	4q13.3	0.36	0.49	0.81	0.75	-0.13	0.368	0.458	(B) BRCA_Normal
FKBP1AP1	19q13.43	3.50	3.72	1.41	1.32	-0.22	0.368	0.458	(B) BRCA_Normal
AMH	19p13.3	2.71	3.05	1.90	2.07	-0.34	0.368	0.459	(B) BRCA_Normal
SLC71A3P	9q22.33	4.76	4.64	0.92	0.67	0.12	0.368	0.459	(A) BRCA_Basal
SURF2	9q34.2	8.08	7.93	0.86	0.94	0.15	0.368	0.459	(A) BRCA_Basal
GUK1	1q42.13	11.68	11.53	0.85	0.88	0.15	0.368	0.459	(A) BRCA_Basal
FCAMR	1q32.1	1.97	1.65	1.93	1.92	0.32	0.368	0.459	(A) BRCA_Basal
MON1A	3p21.31	7.70	7.79	0.62	0.49	-0.09	0.368	0.459	(B) BRCA_Normal
B4GALT5	20q13.13	11.05	10.95	0.68	0.61	0.10	0.368	0.459	(A) BRCA_Basal
IRF9	14q12	10.23	10.39	0.99	0.92	-0.16	0.368	0.459	(B) BRCA_Normal
